round,threats_detected,rules_deployed,avg_response_time,mitigation_effectiveness,timestamp
1,1,1,0.059604644775390625,1.0,2025-08-19T21:49:46.826850
2,2,2,0.060677528381347656,1.0,2025-08-19T21:49:55.196412
3,9,9,0.0815921359592014,1.0,2025-08-19T21:50:10.992845
4,16,16,0.06441771984100342,1.0,2025-08-19T21:50:24.362865
5,26,26,0.06548257974477914,1.0,2025-08-19T21:50:37.553317
6,34,34,0.06781606113209444,1.0,2025-08-19T21:50:50.005378
7,37,37,0.06783330762708509,1.0,2025-08-19T21:51:04.541397
8,42,41,0.07321194904606516,0.9761904761904762,2025-08-19T21:51:16.740767
9,45,44,0.0745003873651678,0.9777777777777777,2025-08-19T21:51:24.203236
10,48,46,0.07351585056470787,0.9583333333333334,2025-08-19T21:51:31.126363
