round,algorithm,total_bytes,bytes_per_client,cumulative_bytes,bandwidth_efficiency,compression_ratio,communication_overhead,timestamp
1,FedProx,710188,710188.0,710188,1.408077861073406,1.0,1.1,2025-08-19T21:49:46.826421
2,FedProx,2841016,710254.0,3551204,0.35198675403447216,1.0,1.1,2025-08-19T21:49:55.195878
3,FedProx,4972696,710385.1428571428,8523900,0.2010981568147339,1.0,1.1,2025-08-19T21:50:10.990366
4,FedProx,7100870,710087.0,15624770,0.14082781405658742,1.0,1.1,2025-08-19T21:50:24.361473
5,FedProx,10650702,710046.8,26275472,0.09389052477479888,1.0,1.1,2025-08-19T21:50:37.550278
6,FedProx,10647620,709841.3333333334,36923092,0.09391770179626996,1.0,1.1,2025-08-19T21:50:50.003179
7,FedProx,7096664,709666.4,44019756,0.14091127887694838,1.0,1.1,2025-08-19T21:51:04.540383
8,FedProx,7100348,710034.8,51120104,0.14083816736869798,1.0,1.1,2025-08-19T21:51:16.738833
9,FedProx,3549400,709880.0,54669504,0.2817377584943934,1.0,1.1,2025-08-19T21:51:24.202229
10,FedProx,3548748,709749.6,58218252,0.2817895212621465,1.0,1.1,2025-08-19T21:51:31.125675
