round,loss,num_clients,total_examples,timestamp
1,4.714673490524292,1,1600,2025-08-19T21:49:46.826991
2,3.8609050369262694,4,6400,2025-08-19T21:49:55.196561
3,3.4949153069087435,7,11200,2025-08-19T21:50:10.993105
4,3.390952644824982,10,16000,2025-08-19T21:50:24.363107
5,3.2523096990585327,15,14400,2025-08-19T21:50:37.553528
6,3.2132319609324136,15,14400,2025-08-19T21:50:50.005627
7,3.144840867519379,10,16000,2025-08-19T21:51:04.541588
8,3.031966731071472,10,16000,2025-08-19T21:51:16.741092
9,2.923877696990967,5,8000,2025-08-19T21:51:24.203422
10,2.782445237636566,5,8000,2025-08-19T21:51:31.126555
