round,num_clients,target_clients,participation_rate,client_ids,timestamp
1,1,5,0.2,fd3b373446cb451a9aaaa597a64a96f3,2025-08-19T21:49:46.824730
2,4,5,0.8,"fd3b373446cb451a9aaaa597a64a96f3,23443d85d58a4df6ae1ba429db90291d,050c108926ce4468a177ca75b7239083,6e289c213cf5463cbb7ba0f48e736ed1",2025-08-19T21:49:55.192097
3,7,10,0.7,"fd3b373446cb451a9aaaa597a64a96f3,23443d85d58a4df6ae1ba429db90291d,c0537a4cd23249cbb29998080947783c,6e289c213cf5463cbb7ba0f48e736ed1,a098f6040e9742cfad32948279a85d9d,084ee3e0edb748a58ba617ef89131279,050c108926ce4468a177ca75b7239083",2025-08-19T21:50:10.982247
4,10,10,1.0,"c0537a4cd23249cbb29998080947783c,050c108926ce4468a177ca75b7239083,084ee3e0edb748a58ba617ef89131279,6df8f112812244279f42a4b54fa5c13a,482b12f91ce241358ca35e98f63ec0bf,23443d85d58a4df6ae1ba429db90291d,a098f6040e9742cfad32948279a85d9d,fd3b373446cb451a9aaaa597a64a96f3,7f65672643e1405f8a8a77bd9ff771f9,862ca889d8594729be7e33941a302aaa",2025-08-19T21:50:24.350604
5,15,15,1.0,"6e289c213cf5463cbb7ba0f48e736ed1,084ee3e0edb748a58ba617ef89131279,7f65672643e1405f8a8a77bd9ff771f9,f08ade3255ff406ca0ff5c9899a64c5d,c0537a4cd23249cbb29998080947783c,6df8f112812244279f42a4b54fa5c13a,b131a6864a07442689f7b6a866257eed,fd3b373446cb451a9aaaa597a64a96f3,482b12f91ce241358ca35e98f63ec0bf,ba3f6902d54c4a2c88d5bbd885039c6e,1f5cff92aa794e83aaeeeeb551933be8,862ca889d8594729be7e33941a302aaa,23443d85d58a4df6ae1ba429db90291d,a098f6040e9742cfad32948279a85d9d,050c108926ce4468a177ca75b7239083",2025-08-19T21:50:37.534689
6,15,15,1.0,"050c108926ce4468a177ca75b7239083,a098f6040e9742cfad32948279a85d9d,f08ade3255ff406ca0ff5c9899a64c5d,6df8f112812244279f42a4b54fa5c13a,862ca889d8594729be7e33941a302aaa,c0537a4cd23249cbb29998080947783c,1f5cff92aa794e83aaeeeeb551933be8,084ee3e0edb748a58ba617ef89131279,7f65672643e1405f8a8a77bd9ff771f9,b131a6864a07442689f7b6a866257eed,482b12f91ce241358ca35e98f63ec0bf,fd3b373446cb451a9aaaa597a64a96f3,ba3f6902d54c4a2c88d5bbd885039c6e,6e289c213cf5463cbb7ba0f48e736ed1,23443d85d58a4df6ae1ba429db90291d",2025-08-19T21:50:49.987378
7,10,10,1.0,"482b12f91ce241358ca35e98f63ec0bf,7f65672643e1405f8a8a77bd9ff771f9,c0537a4cd23249cbb29998080947783c,f08ade3255ff406ca0ff5c9899a64c5d,084ee3e0edb748a58ba617ef89131279,6df8f112812244279f42a4b54fa5c13a,862ca889d8594729be7e33941a302aaa,23443d85d58a4df6ae1ba429db90291d,fd3b373446cb451a9aaaa597a64a96f3,1f5cff92aa794e83aaeeeeb551933be8",2025-08-19T21:51:04.529599
8,10,10,1.0,"1f5cff92aa794e83aaeeeeb551933be8,ba3f6902d54c4a2c88d5bbd885039c6e,6df8f112812244279f42a4b54fa5c13a,862ca889d8594729be7e33941a302aaa,a098f6040e9742cfad32948279a85d9d,b131a6864a07442689f7b6a866257eed,f08ade3255ff406ca0ff5c9899a64c5d,c0537a4cd23249cbb29998080947783c,fd3b373446cb451a9aaaa597a64a96f3,482b12f91ce241358ca35e98f63ec0bf",2025-08-19T21:51:16.727993
9,5,5,1.0,"f08ade3255ff406ca0ff5c9899a64c5d,23443d85d58a4df6ae1ba429db90291d,482b12f91ce241358ca35e98f63ec0bf,6df8f112812244279f42a4b54fa5c13a,ba3f6902d54c4a2c88d5bbd885039c6e",2025-08-19T21:51:24.196568
10,5,5,1.0,"862ca889d8594729be7e33941a302aaa,1f5cff92aa794e83aaeeeeb551933be8,fd3b373446cb451a9aaaa597a64a96f3,a098f6040e9742cfad32948279a85d9d,084ee3e0edb748a58ba617ef89131279",2025-08-19T21:51:31.120111
