round,loss,accuracy,num_clients,zero_day_detection,timestamp
1,0.07373534888029099,0.22,3,0.14597351305107387,2025-08-19T21:49:47.345272
2,0.06513277888298034,0.204,5,0.14351641926934378,2025-08-19T21:49:56.044101
3,0.06254594065248967,0.2048888888888889,10,0.17726741770711807,2025-08-19T21:50:12.286128
4,0.061732232198119165,0.19844444444444445,10,0.1739148707029152,2025-08-19T21:50:25.474183
5,0.06090790083010991,0.20385185185185184,15,0.17693186485927714,2025-08-19T21:50:39.390950
6,0.06041612351934115,0.20355555555555555,15,0.1768972782014049,2025-08-19T21:50:51.848171
7,0.05996109135448933,0.20022222222222222,10,0.1605844430070945,2025-08-19T21:51:05.681744
8,0.05895430706441403,0.20422222222222222,10,0.2000160652006186,2025-08-19T21:51:17.847762
9,0.058649256080389026,0.18755555555555556,5,0.16647509960766246,2025-08-19T21:51:24.771538
10,0.05843110382556915,0.188,5,0.12819721791905483,2025-08-19T21:51:31.733421
