round,num_clients,target_clients,participation_rate,client_ids,timestamp
1,1,5,0.2,6b730ca11ddb488a9cc59a541da07751,2025-08-19T21:22:23.991280
2,4,5,0.8,"cfbcfc159c8c452490fcbb424de73053,6b730ca11ddb488a9cc59a541da07751,13f95d867e8b4fbfbecfd902a7ec8f0a,bfe9d80487c640eb972e84c0e2f55a15",2025-08-19T21:22:33.220146
3,8,10,0.8,"6b730ca11ddb488a9cc59a541da07751,c5f2bd80a2db4fadb6873ad48cf9d7c6,13f95d867e8b4fbfbecfd902a7ec8f0a,5df5301696b94ceba0a50244b939ddbb,6b0a4b5f19884f3d910e01777e65d183,bfe9d80487c640eb972e84c0e2f55a15,e8664cfdaf3a4a19b42d5bea35819c98,cfbcfc159c8c452490fcbb424de73053",2025-08-19T21:22:48.889135
4,10,10,1.0,"cfbcfc159c8c452490fcbb424de73053,00020abf90e44f40bd6b891db49f708f,6b0a4b5f19884f3d910e01777e65d183,bfe9d80487c640eb972e84c0e2f55a15,13f95d867e8b4fbfbecfd902a7ec8f0a,e5425c0c3ff04bbaa5aa11650a011e0d,5df5301696b94ceba0a50244b939ddbb,c5f2bd80a2db4fadb6873ad48cf9d7c6,b6280d87d4124a0f99c427c74e647b90,6b730ca11ddb488a9cc59a541da07751",2025-08-19T21:23:04.643639
5,15,15,1.0,"6b730ca11ddb488a9cc59a541da07751,5df5301696b94ceba0a50244b939ddbb,87c83fcd73514fa3bd84979e3596cf40,b6280d87d4124a0f99c427c74e647b90,cfbcfc159c8c452490fcbb424de73053,e5425c0c3ff04bbaa5aa11650a011e0d,c5f2bd80a2db4fadb6873ad48cf9d7c6,bfe9d80487c640eb972e84c0e2f55a15,874c4b5e846148f5b2223e24fb3078c8,13f95d867e8b4fbfbecfd902a7ec8f0a,841c79bb6c17456c9df7affcf565082a,6b0a4b5f19884f3d910e01777e65d183,6fdb7d0a374744e787aac9da4727d304,e8664cfdaf3a4a19b42d5bea35819c98,00020abf90e44f40bd6b891db49f708f",2025-08-19T21:23:14.204107
6,15,15,1.0,"e8664cfdaf3a4a19b42d5bea35819c98,5df5301696b94ceba0a50244b939ddbb,874c4b5e846148f5b2223e24fb3078c8,87c83fcd73514fa3bd84979e3596cf40,6b0a4b5f19884f3d910e01777e65d183,cfbcfc159c8c452490fcbb424de73053,e5425c0c3ff04bbaa5aa11650a011e0d,bfe9d80487c640eb972e84c0e2f55a15,13f95d867e8b4fbfbecfd902a7ec8f0a,c5f2bd80a2db4fadb6873ad48cf9d7c6,841c79bb6c17456c9df7affcf565082a,b6280d87d4124a0f99c427c74e647b90,6b730ca11ddb488a9cc59a541da07751,6fdb7d0a374744e787aac9da4727d304,00020abf90e44f40bd6b891db49f708f",2025-08-19T21:23:32.038480
7,10,10,1.0,"cfbcfc159c8c452490fcbb424de73053,6fdb7d0a374744e787aac9da4727d304,e8664cfdaf3a4a19b42d5bea35819c98,13f95d867e8b4fbfbecfd902a7ec8f0a,b6280d87d4124a0f99c427c74e647b90,6b0a4b5f19884f3d910e01777e65d183,87c83fcd73514fa3bd84979e3596cf40,e5425c0c3ff04bbaa5aa11650a011e0d,00020abf90e44f40bd6b891db49f708f,6b730ca11ddb488a9cc59a541da07751",2025-08-19T21:23:46.625017
8,10,10,1.0,"874c4b5e846148f5b2223e24fb3078c8,6b0a4b5f19884f3d910e01777e65d183,5df5301696b94ceba0a50244b939ddbb,bfe9d80487c640eb972e84c0e2f55a15,13f95d867e8b4fbfbecfd902a7ec8f0a,cfbcfc159c8c452490fcbb424de73053,841c79bb6c17456c9df7affcf565082a,e5425c0c3ff04bbaa5aa11650a011e0d,b6280d87d4124a0f99c427c74e647b90,00020abf90e44f40bd6b891db49f708f",2025-08-19T21:24:01.848309
9,5,5,1.0,"b6280d87d4124a0f99c427c74e647b90,6b730ca11ddb488a9cc59a541da07751,00020abf90e44f40bd6b891db49f708f,13f95d867e8b4fbfbecfd902a7ec8f0a,bfe9d80487c640eb972e84c0e2f55a15",2025-08-19T21:24:11.619171
10,5,5,1.0,"6b730ca11ddb488a9cc59a541da07751,e5425c0c3ff04bbaa5aa11650a011e0d,13f95d867e8b4fbfbecfd902a7ec8f0a,b6280d87d4124a0f99c427c74e647b90,bfe9d80487c640eb972e84c0e2f55a15",2025-08-19T21:24:19.473065
