round,loss,accuracy,num_clients,zero_day_detection,timestamp
1,0.07168801896499866,0.1987878787878788,3,0.2608640956467043,2025-08-19T21:22:24.490144
2,0.060745467140804976,0.204375,5,0.2846931495705558,2025-08-19T21:22:34.489263
3,0.05859801119291469,0.2036842105263158,10,0.3278530669760668,2025-08-19T21:22:50.868217
4,0.05743382370163654,0.19793103448275862,10,0.2957804612859134,2025-08-19T21:23:07.207304
5,0.0567713436396683,0.19976470588235293,15,0.27563606424550124,2025-08-19T21:23:17.890654
6,0.05650490640717394,0.20125490196078433,15,0.2779674132628768,2025-08-19T21:23:35.353642
7,0.05601406813655769,0.19845303867403316,10,0.22597891021428884,2025-08-19T21:23:48.949352
8,0.05536380513797145,0.20201183431952663,10,0.24562985022476344,2025-08-19T21:24:04.291679
9,0.055227716150995976,0.19376623376623375,5,0.16918819998763898,2025-08-19T21:24:12.695832
10,0.054286626738405994,0.20516129032258065,5,0.18765772122013355,2025-08-19T21:24:20.765531
