round,bytes_transmitted,communication_time,num_clients,timestamp
1,707706,5.074778079986572,1,2025-08-19T21:22:23.992431
2,2829246,8.732361793518066,4,2025-08-19T21:22:33.223862
3,5660114,14.406275510787964,8,2025-08-19T21:22:48.897904
4,7071466,13.783339977264404,10,2025-08-19T21:23:04.654333
5,10612026,7.002735376358032,15,2025-08-19T21:23:14.212417
6,10598584,14.161926984786987,15,2025-08-19T21:23:32.054498
7,7067120,11.279781341552734,10,2025-08-19T21:23:46.635371
8,7066826,12.904690265655518,10,2025-08-19T21:24:01.856173
9,3534798,7.330417633056641,5,2025-08-19T21:24:11.624675
10,3533034,6.780831336975098,5,2025-08-19T21:24:19.478715
