round,algorithm,class,tp,fp,fn,tn,timestamp
1,AsyncFL,Normal,33,138,296,1183,2025-08-19T21:22:24.490604
1,AsyncFL,DDoS,205,844,130,471,2025-08-19T21:22:24.490604
1,AsyncFL,DoS,4,15,346,1285,2025-08-19T21:22:24.490604
1,AsyncFL,Reconnaissance,30,111,298,1211,2025-08-19T21:22:24.490604
1,AsyncFL,Theft,56,214,252,1128,2025-08-19T21:22:24.490604
2,AsyncFL,Normal,118,478,522,2082,2025-08-19T21:22:34.489797
2,AsyncFL,DDoS,306,1192,344,1358,2025-08-19T21:22:34.489797
2,AsyncFL,DoS,30,117,636,2417,2025-08-19T21:22:34.489797
2,AsyncFL,Reconnaissance,98,349,523,2230,2025-08-19T21:22:34.489797
2,AsyncFL,Theft,102,410,521,2167,2025-08-19T21:22:34.489797
3,AsyncFL,Normal,300,1147,1206,4947,2025-08-19T21:22:50.868874
3,AsyncFL,DDoS,615,2423,944,3618,2025-08-19T21:22:50.868874
3,AsyncFL,DoS,127,546,1413,5514,2025-08-19T21:22:50.868874
3,AsyncFL,Reconnaissance,268,1015,1220,5097,2025-08-19T21:22:50.868874
3,AsyncFL,Theft,238,921,1269,5172,2025-08-19T21:22:50.868874
4,AsyncFL,Normal,311,1424,1315,5650,2025-08-19T21:23:07.208023
4,AsyncFL,DDoS,590,2391,1178,4541,2025-08-19T21:23:07.208023
4,AsyncFL,DoS,240,917,1596,5947,2025-08-19T21:23:07.208023
4,AsyncFL,Reconnaissance,319,1237,1391,5753,2025-08-19T21:23:07.208023
4,AsyncFL,Theft,262,1009,1498,5931,2025-08-19T21:23:07.208023
5,AsyncFL,Normal,525,2200,1929,8096,2025-08-19T21:23:17.891137
5,AsyncFL,DDoS,767,2997,1835,7151,2025-08-19T21:23:17.891137
5,AsyncFL,DoS,407,1625,2215,8503,2025-08-19T21:23:17.891137
5,AsyncFL,Reconnaissance,470,1832,2041,8407,2025-08-19T21:23:17.891137
5,AsyncFL,Theft,378,1549,2183,8640,2025-08-19T21:23:17.891137
6,AsyncFL,Normal,518,2140,1936,8156,2025-08-19T21:23:35.354254
6,AsyncFL,DDoS,775,2956,1827,7192,2025-08-19T21:23:35.354254
6,AsyncFL,DoS,445,1810,2177,8318,2025-08-19T21:23:35.354254
6,AsyncFL,Reconnaissance,457,1787,2054,8452,2025-08-19T21:23:35.354254
6,AsyncFL,Theft,371,1491,2190,8698,2025-08-19T21:23:35.354254
7,AsyncFL,Normal,331,1433,1388,5898,2025-08-19T21:23:48.949863
7,AsyncFL,DDoS,417,1722,1394,5517,2025-08-19T21:23:48.949863
7,AsyncFL,DoS,385,1599,1508,5558,2025-08-19T21:23:48.949863
7,AsyncFL,Reconnaissance,373,1388,1406,5883,2025-08-19T21:23:48.949863
7,AsyncFL,Theft,290,1112,1558,6090,2025-08-19T21:23:48.949863
8,AsyncFL,Normal,325,1375,1285,5465,2025-08-19T21:24:04.292320
8,AsyncFL,DDoS,421,1628,1277,5124,2025-08-19T21:24:04.292320
8,AsyncFL,DoS,439,1784,1322,4905,2025-08-19T21:24:04.292320
8,AsyncFL,Reconnaissance,287,1025,1381,5757,2025-08-19T21:24:04.292320
8,AsyncFL,Theft,235,931,1478,5806,2025-08-19T21:24:04.292320
9,AsyncFL,Normal,159,673,577,2441,2025-08-19T21:24:12.696266
9,AsyncFL,DDoS,134,627,664,2425,2025-08-19T21:24:12.696266
9,AsyncFL,DoS,270,1035,536,2009,2025-08-19T21:24:12.696266
9,AsyncFL,Reconnaissance,115,475,632,2628,2025-08-19T21:24:12.696266
9,AsyncFL,Theft,68,294,695,2793,2025-08-19T21:24:12.696266
10,AsyncFL,Normal,122,482,485,2011,2025-08-19T21:24:20.766114
10,AsyncFL,DDoS,119,464,512,2005,2025-08-19T21:24:20.766114
10,AsyncFL,DoS,244,970,406,1480,2025-08-19T21:24:20.766114
10,AsyncFL,Reconnaissance,94,356,519,2131,2025-08-19T21:24:20.766114
10,AsyncFL,Theft,57,192,542,2309,2025-08-19T21:24:20.766114
