round,loss,accuracy,num_clients,zero_day_detection,timestamp
1,0.07317152651755707,0.19043478260869565,4,0.0631611067022751,2025-08-19T21:19:05.125798
2,0.06190172707041105,0.19159420289855073,5,0.20894013222465674,2025-08-19T21:19:17.197728
3,0.05916116872833947,0.20146892655367232,10,0.2951420558874978,2025-08-19T21:19:33.509907
4,0.058247207746737535,0.19977777777777778,10,0.29655412548911775,2025-08-19T21:19:48.629003
5,0.05787151324398378,0.19607843137254902,15,0.24929784615372175,2025-08-19T21:20:03.554198
6,0.05771432856426519,0.19607843137254902,15,0.2623669844001581,2025-08-19T21:20:19.082377
7,0.056950416692665644,0.196,10,0.2449598666193867,2025-08-19T21:20:32.657496
8,0.05661040224884389,0.19420118343195267,10,0.270618690467739,2025-08-19T21:20:47.001169
9,0.056238895108302434,0.184,5,0.21138287410925338,2025-08-19T21:20:54.560437
10,0.05508190634039541,0.19416666666666665,5,0.22216859004025902,2025-08-19T21:21:01.344478
