round,bytes_transmitted,communication_time,num_clients,timestamp
1,708090,5.544984579086304,1,2025-08-19T21:19:03.910961
2,2822886,10.729411125183105,4,2025-08-19T21:19:15.858851
3,6358334,14.09328556060791,9,2025-08-19T21:19:31.292517
4,7059080,12.911565780639648,10,2025-08-19T21:19:46.423359
5,10589316,10.89066767692566,15,2025-08-19T21:19:59.521783
6,10600486,12.4153151512146,15,2025-08-19T21:20:15.971239
7,7058800,11.444366455078125,10,2025-08-19T21:20:30.529344
8,7064456,12.249694347381592,10,2025-08-19T21:20:44.909652
9,3534122,6.563760995864868,5,2025-08-19T21:20:53.567358
10,3526140,6.310711622238159,5,2025-08-19T21:21:00.873651
