round,algorithm,average_type,precision,recall,f1,timestamp
1,FedProx,class:Normal,0.19023689877961233,0.594170403587444,0.28820010875475804,2025-08-19T21:19:05.126213
1,FedProx,class:DDoS,0.20465116279069767,0.17813765182186234,0.19047619047619047,2025-08-19T21:19:05.126271
1,FedProx,class:DoS,0.14705882352941177,0.01141552511415525,0.0211864406779661,2025-08-19T21:19:05.126321
1,FedProx,class:Reconnaissance,0.2518518518518518,0.07488986784140969,0.11544991511035654,2025-08-19T21:19:05.126351
1,FedProx,class:Theft,0.14935064935064934,0.09829059829059829,0.11855670103092783,2025-08-19T21:19:05.126379
1,FedProx,macro,0.18862987726044458,0.19138080933109392,0.1467738712100398,2025-08-19T21:19:05.126763
1,FedProx,micro,0.19043478260869565,0.19043478260869565,0.19043478260869565,2025-08-19T21:19:05.126792
1,FedProx,weighted,0.18895301765958206,0.19043478260869565,0.18969100648895199,2025-08-19T21:19:05.126815
2,FedProx,class:Normal,0.1897891231964484,0.24675324675324675,0.21455457967377667,2025-08-19T21:19:17.197911
2,FedProx,class:DDoS,0.1992373689227836,0.29772079772079774,0.23872073101085092,2025-08-19T21:19:17.197946
2,FedProx,class:DoS,0.17766497461928935,0.05239520958083832,0.08092485549132948,2025-08-19T21:19:17.197969
2,FedProx,class:Reconnaissance,0.1993911719939117,0.18876080691642652,0.1939304219096965,2025-08-19T21:19:17.197994
2,FedProx,class:Theft,0.1780185758513932,0.16594516594516595,0.1717699775952203,2025-08-19T21:19:17.198015
2,FedProx,macro,0.18882024291676527,0.19031504538329505,0.17998011313617474,2025-08-19T21:19:17.198181
2,FedProx,micro,0.19159420289855073,0.19159420289855073,0.19159420289855073,2025-08-19T21:19:17.198201
2,FedProx,weighted,0.1889313173430169,0.19159420289855073,0.19025344279631454,2025-08-19T21:19:17.198243
3,FedProx,class:Normal,0.19646365422396855,0.17411491584445735,0.18461538461538463,2025-08-19T21:19:33.510156
3,FedProx,class:DDoS,0.2001479837217906,0.30274202574146614,0.2409799554565702,2025-08-19T21:19:33.510237
3,FedProx,class:DoS,0.1936813186813187,0.08264947245017586,0.11585866885784718,2025-08-19T21:19:33.510270
3,FedProx,class:Reconnaissance,0.20871327254305977,0.22427871529667937,0.2162162162162162,2025-08-19T21:19:33.510300
3,FedProx,class:Theft,0.20281543274244004,0.216471897607123,0.20942126514131898,2025-08-19T21:19:33.510327
3,FedProx,macro,0.20036433238251555,0.20005140538798033,0.19341829805746744,2025-08-19T21:19:33.510485
3,FedProx,micro,0.20146892655367232,0.20146892655367232,0.20146892655367232,2025-08-19T21:19:33.510511
3,FedProx,weighted,0.20050364600099807,0.20146892655367232,0.2009851272846464,2025-08-19T21:19:33.510533
4,FedProx,class:Normal,0.18789808917197454,0.1354764638346728,0.15743829219479655,2025-08-19T21:19:48.629249
4,FedProx,class:DDoS,0.2057721139430285,0.3048306496390894,0.24569254866860596,2025-08-19T21:19:48.629327
4,FedProx,class:DoS,0.19426048565121412,0.1008595988538682,0.13278008298755184,2025-08-19T21:19:48.629358
4,FedProx,class:Reconnaissance,0.20302013422818793,0.25979602791196993,0.22792559453732045,2025-08-19T21:19:48.629385
4,FedProx,class:Theft,0.19764837625979842,0.19091400757166035,0.19422283356258596,2025-08-19T21:19:48.629412
4,FedProx,macro,0.1977198398508407,0.1983753495622521,0.19161187039017213,2025-08-19T21:19:48.629614
4,FedProx,micro,0.19977777777777778,0.19977777777777778,0.19977777777777778,2025-08-19T21:19:48.629715
4,FedProx,weighted,0.19784188375353598,0.19977777777777778,0.1988051181143022,2025-08-19T21:19:48.629738
5,FedProx,class:Normal,0.1921212121212121,0.12664802237315223,0.15266072718516735,2025-08-19T21:20:03.554425
5,FedProx,class:DDoS,0.19797979797979798,0.2701851122489169,0.2285143237841439,2025-08-19T21:20:03.554504
5,FedProx,class:DoS,0.18780658724597057,0.10885458976441917,0.13782463358189764,2025-08-19T21:20:03.554528
5,FedProx,class:Reconnaissance,0.19938990571270104,0.2724516862447897,0.23026421136909528,2025-08-19T21:20:03.554550
5,FedProx,class:Theft,0.1960030745580323,0.1956271576524741,0.1958149356882319,2025-08-19T21:20:03.554572
5,FedProx,macro,0.1946601155235428,0.19475331365675042,0.18901576632170722,2025-08-19T21:20:03.554758
5,FedProx,micro,0.19607843137254902,0.19607843137254902,0.19607843137254902,2025-08-19T21:20:03.554797
5,FedProx,weighted,0.19475293296927756,0.19607843137254902,0.1954134344674568,2025-08-19T21:20:03.554815
6,FedProx,class:Normal,0.19267955801104972,0.11146624051138633,0.14123006833712984,2025-08-19T21:20:19.082710
6,FedProx,class:DDoS,0.19884169884169883,0.2839700669554943,0.23390105433901054,2025-08-19T21:20:19.082794
6,FedProx,class:DoS,0.18754055807916936,0.1173842404549147,0.14439170622033476,2025-08-19T21:20:19.082826
6,FedProx,class:Reconnaissance,0.20122630992196208,0.2735884804850322,0.2318933675927413,2025-08-19T21:20:19.082853
6,FedProx,class:Theft,0.19199057714958775,0.18757192174913695,0.189755529685681,2025-08-19T21:20:19.082987
6,FedProx,macro,0.19445574040069355,0.1947961900311929,0.18823434523497945,2025-08-19T21:20:19.083188
6,FedProx,micro,0.19607843137254902,0.19607843137254902,0.19607843137254902,2025-08-19T21:20:19.083217
6,FedProx,weighted,0.19454247275017092,0.19607843137254902,0.19530743229351757,2025-08-19T21:20:19.083241
7,FedProx,class:Normal,0.19120654396728015,0.10891089108910891,0.13877551020408166,2025-08-19T21:20:32.657742
7,FedProx,class:DDoS,0.19061461794019935,0.2703180212014134,0.22357525572333173,2025-08-19T21:20:32.657822
7,FedProx,class:DoS,0.19365079365079366,0.14336075205640422,0.16475354490209318,2025-08-19T21:20:32.657854
7,FedProx,class:Reconnaissance,0.19939690915944214,0.29405225125069484,0.2376460017969452,2025-08-19T21:20:32.657881
7,FedProx,class:Theft,0.2039972432804962,0.1613958560523446,0.1802130898021309,2025-08-19T21:20:32.657908
7,FedProx,macro,0.1957732215996423,0.19560755432999322,0.18899268048571655,2025-08-19T21:20:32.658111
7,FedProx,micro,0.196,0.196,0.19600000000000004,2025-08-19T21:20:32.658137
7,FedProx,weighted,0.19593198763453668,0.196,0.1959659879161401,2025-08-19T21:20:32.658159
8,FedProx,class:Normal,0.19796215429403202,0.0827250608272506,0.11668811668811668,2025-08-19T21:20:47.001427
8,FedProx,class:DDoS,0.19463356027232678,0.29101796407185626,0.23326133909287255,2025-08-19T21:20:47.001540
8,FedProx,class:DoS,0.18950437317784258,0.1586333129957291,0.1727000996346729,2025-08-19T21:20:47.001571
8,FedProx,class:Reconnaissance,0.19983136593591905,0.27008547008547007,0.22970680881996605,2025-08-19T21:20:47.001598
8,FedProx,class:Theft,0.18725361366622864,0.16360505166475317,0.1746323529411765,2025-08-19T21:20:47.001627
8,FedProx,macro,0.1938370134692698,0.19321337192901183,0.18539774343536095,2025-08-19T21:20:47.001828
8,FedProx,micro,0.19420118343195267,0.19420118343195267,0.19420118343195267,2025-08-19T21:20:47.001854
8,FedProx,weighted,0.19384441860080076,0.19420118343195267,0.1940226370135584,2025-08-19T21:20:47.001877
9,FedProx,class:Normal,0.18674698795180722,0.08244680851063829,0.1143911439114391,2025-08-19T21:20:54.560772
9,FedProx,class:DDoS,0.18280632411067194,0.255524861878453,0.21313364055299538,2025-08-19T21:20:54.560832
9,FedProx,class:DoS,0.17933130699088146,0.16098226466575716,0.16966211358734723,2025-08-19T21:20:54.560864
9,FedProx,class:Reconnaissance,0.19043624161073824,0.2994722955145119,0.2328205128205128,2025-08-19T21:20:54.560893
9,FedProx,class:Theft,0.17625899280575538,0.1251596424010217,0.14637789395070946,2025-08-19T21:20:54.560923
9,FedProx,macro,0.18311597069397084,0.1847171745940764,0.17527706096460077,2025-08-19T21:20:54.561172
9,FedProx,micro,0.184,0.184,0.184,2025-08-19T21:20:54.561200
9,FedProx,weighted,0.18309248643414605,0.184,0.1835451214549795,2025-08-19T21:20:54.561221
10,FedProx,class:Normal,0.21370967741935484,0.055381400208986416,0.0879668049792531,2025-08-19T21:21:01.344653
10,FedProx,class:DDoS,0.20359848484848486,0.2209660842754368,0.21192705766387385,2025-08-19T21:21:01.344714
10,FedProx,class:DoS,0.18255908720456399,0.23880597014925373,0.20692840646651273,2025-08-19T21:21:01.344739
10,FedProx,class:Reconnaissance,0.19337848006019565,0.26522187822497423,0.2236727589208007,2025-08-19T21:21:01.344761
10,FedProx,class:Theft,0.1946808510638298,0.19003115264797507,0.19232790331056226,2025-08-19T21:21:01.344800
10,FedProx,macro,0.19758531611928584,0.19408129710132524,0.18456458626820055,2025-08-19T21:21:01.344999
10,FedProx,micro,0.19416666666666665,0.19416666666666665,0.19416666666666665,2025-08-19T21:21:01.345019
10,FedProx,weighted,0.1976506911663702,0.19416666666666665,0.19589318901226604,2025-08-19T21:21:01.345036
