round,algorithm,class,tp,fp,fn,tn,timestamp
1,FedProx,Normal,265,1128,181,726,2025-08-19T21:19:05.126651
1,FedProx,DDoS,88,342,406,1464,2025-08-19T21:19:05.126651
1,FedProx,DoS,5,29,433,1833,2025-08-19T21:19:05.126651
1,FedProx,Reconnaissance,34,101,420,1745,2025-08-19T21:19:05.126651
1,FedProx,Theft,46,262,422,1570,2025-08-19T21:19:05.126651
2,FedProx,Normal,171,730,522,2027,2025-08-19T21:19:17.198118
2,FedProx,DDoS,209,840,493,1908,2025-08-19T21:19:17.198118
2,FedProx,DoS,35,162,633,2620,2025-08-19T21:19:17.198118
2,FedProx,Reconnaissance,131,526,563,2230,2025-08-19T21:19:17.198118
2,FedProx,Theft,115,531,578,2226,2025-08-19T21:19:17.198118
3,FedProx,Normal,300,1227,1423,5900,2025-08-19T21:19:33.510444
3,FedProx,DDoS,541,2162,1246,4901,2025-08-19T21:19:33.510444
3,FedProx,DoS,141,587,1565,6557,2025-08-19T21:19:33.510444
3,FedProx,Reconnaissance,412,1562,1425,5451,2025-08-19T21:19:33.510444
3,FedProx,Theft,389,1529,1408,5524,2025-08-19T21:19:33.510444
4,FedProx,Normal,236,1020,1506,6238,2025-08-19T21:19:48.629539
4,FedProx,DDoS,549,2119,1252,5080,2025-08-19T21:19:48.629539
4,FedProx,DoS,176,730,1569,6525,2025-08-19T21:19:48.629539
4,FedProx,Reconnaissance,484,1900,1379,5237,2025-08-19T21:19:48.629539
4,FedProx,Theft,353,1433,1496,5718,2025-08-19T21:19:48.629539
5,FedProx,Normal,317,1333,2186,8914,2025-08-19T21:20:03.554694
5,FedProx,DDoS,686,2779,1853,7432,2025-08-19T21:20:03.554694
5,FedProx,DoS,268,1159,2194,9129,2025-08-19T21:20:03.554694
5,FedProx,Reconnaissance,719,2887,1920,7224,2025-08-19T21:20:03.554694
5,FedProx,Theft,510,2092,2097,8051,2025-08-19T21:20:03.554694
6,FedProx,Normal,279,1169,2224,9078,2025-08-19T21:20:19.083113
6,FedProx,DDoS,721,2905,1818,7306,2025-08-19T21:20:19.083113
6,FedProx,DoS,289,1252,2173,9036,2025-08-19T21:20:19.083113
6,FedProx,Reconnaissance,722,2866,1917,7245,2025-08-19T21:20:19.083113
6,FedProx,Theft,489,2058,2118,8085,2025-08-19T21:20:19.083113
7,FedProx,Normal,187,791,1530,6242,2025-08-19T21:20:32.658027
7,FedProx,DDoS,459,1949,1239,5103,2025-08-19T21:20:32.658027
7,FedProx,DoS,244,1016,1458,6032,2025-08-19T21:20:32.658027
7,FedProx,Reconnaissance,529,2124,1270,4827,2025-08-19T21:20:32.658027
7,FedProx,Theft,296,1155,1538,5761,2025-08-19T21:20:32.658027
8,FedProx,Normal,136,551,1508,6255,2025-08-19T21:20:47.001749
8,FedProx,DDoS,486,2011,1184,4769,2025-08-19T21:20:47.001749
8,FedProx,DoS,260,1112,1379,5699,2025-08-19T21:20:47.001749
8,FedProx,Reconnaissance,474,1898,1281,4797,2025-08-19T21:20:47.001749
8,FedProx,Theft,285,1237,1457,5471,2025-08-19T21:20:47.001749
9,FedProx,Normal,62,270,690,2728,2025-08-19T21:20:54.561088
9,FedProx,DDoS,185,827,539,2199,2025-08-19T21:20:54.561088
9,FedProx,DoS,118,540,615,2477,2025-08-19T21:20:54.561088
9,FedProx,Reconnaissance,227,965,531,2027,2025-08-19T21:20:54.561088
9,FedProx,Theft,98,458,685,2509,2025-08-19T21:20:54.561088
10,FedProx,Normal,53,195,904,3648,2025-08-19T21:21:01.344940
10,FedProx,DDoS,215,841,758,2986,2025-08-19T21:21:01.344940
10,FedProx,DoS,224,1003,714,2859,2025-08-19T21:21:01.344940
10,FedProx,Reconnaissance,257,1072,712,2759,2025-08-19T21:21:01.344940
10,FedProx,Theft,183,757,780,3080,2025-08-19T21:21:01.344940
