round,num_clients,target_clients,participation_rate,client_ids,timestamp
1,1,5,0.2,89f78d1d3a0f4dd3bd03e2a8bfce901d,2025-08-19T21:19:03.909534
2,4,5,0.8,"0fc21eed9a754b1da246018ca7898ff9,5e69de922b3041b6b6a85ee26a618774,89f78d1d3a0f4dd3bd03e2a8bfce901d,5cd8314087a54c038891679b5bba9003",2025-08-19T21:19:15.854937
3,9,10,0.9,"01731e47dd0a465dad0a8db5bc0316a8,5e69de922b3041b6b6a85ee26a618774,c2d2988b3d1146fdb748c890e89bdd34,0fc21eed9a754b1da246018ca7898ff9,89f78d1d3a0f4dd3bd03e2a8bfce901d,0a260b6a1e77495b9f5fdd3d6194d6a3,6c271abf70ad476fa89188e17fe38062,e508c2dc6ca6422e8e77bd844c65ab34,5cd8314087a54c038891679b5bba9003",2025-08-19T21:19:31.283154
4,10,10,1.0,"0a260b6a1e77495b9f5fdd3d6194d6a3,0fc21eed9a754b1da246018ca7898ff9,89f78d1d3a0f4dd3bd03e2a8bfce901d,fc05fb0cae5f4a428cfe72e8af9b5e7b,c2d2988b3d1146fdb748c890e89bdd34,e508c2dc6ca6422e8e77bd844c65ab34,01731e47dd0a465dad0a8db5bc0316a8,e022efecb688463aa86326524115b4a4,5e69de922b3041b6b6a85ee26a618774,fe25a0a26a9647a991f2fa3941bfc14a",2025-08-19T21:19:46.412407
5,15,15,1.0,"fe25a0a26a9647a991f2fa3941bfc14a,fc05fb0cae5f4a428cfe72e8af9b5e7b,68b95f44068b4dc7a76d9b110d84f23d,faf80836a52e4275aa0cd983abe58935,5e69de922b3041b6b6a85ee26a618774,0a260b6a1e77495b9f5fdd3d6194d6a3,0fc21eed9a754b1da246018ca7898ff9,c2d2988b3d1146fdb748c890e89bdd34,89f78d1d3a0f4dd3bd03e2a8bfce901d,e022efecb688463aa86326524115b4a4,6c271abf70ad476fa89188e17fe38062,01731e47dd0a465dad0a8db5bc0316a8,e508c2dc6ca6422e8e77bd844c65ab34,2ebf2fe228254e298d5102d32126378a,5cd8314087a54c038891679b5bba9003",2025-08-19T21:19:59.505855
6,15,15,1.0,"e022efecb688463aa86326524115b4a4,0fc21eed9a754b1da246018ca7898ff9,e508c2dc6ca6422e8e77bd844c65ab34,6c271abf70ad476fa89188e17fe38062,68b95f44068b4dc7a76d9b110d84f23d,fc05fb0cae5f4a428cfe72e8af9b5e7b,c2d2988b3d1146fdb748c890e89bdd34,2ebf2fe228254e298d5102d32126378a,5cd8314087a54c038891679b5bba9003,89f78d1d3a0f4dd3bd03e2a8bfce901d,faf80836a52e4275aa0cd983abe58935,fe25a0a26a9647a991f2fa3941bfc14a,5e69de922b3041b6b6a85ee26a618774,0a260b6a1e77495b9f5fdd3d6194d6a3,01731e47dd0a465dad0a8db5bc0316a8",2025-08-19T21:20:15.955727
7,10,10,1.0,"0a260b6a1e77495b9f5fdd3d6194d6a3,0fc21eed9a754b1da246018ca7898ff9,2ebf2fe228254e298d5102d32126378a,68b95f44068b4dc7a76d9b110d84f23d,5e69de922b3041b6b6a85ee26a618774,01731e47dd0a465dad0a8db5bc0316a8,fe25a0a26a9647a991f2fa3941bfc14a,e508c2dc6ca6422e8e77bd844c65ab34,6c271abf70ad476fa89188e17fe38062,faf80836a52e4275aa0cd983abe58935",2025-08-19T21:20:30.519169
8,10,10,1.0,"c2d2988b3d1146fdb748c890e89bdd34,0fc21eed9a754b1da246018ca7898ff9,e508c2dc6ca6422e8e77bd844c65ab34,01731e47dd0a465dad0a8db5bc0316a8,68b95f44068b4dc7a76d9b110d84f23d,5e69de922b3041b6b6a85ee26a618774,5cd8314087a54c038891679b5bba9003,faf80836a52e4275aa0cd983abe58935,fe25a0a26a9647a991f2fa3941bfc14a,6c271abf70ad476fa89188e17fe38062",2025-08-19T21:20:44.898954
9,5,5,1.0,"e022efecb688463aa86326524115b4a4,c2d2988b3d1146fdb748c890e89bdd34,fc05fb0cae5f4a428cfe72e8af9b5e7b,0fc21eed9a754b1da246018ca7898ff9,0a260b6a1e77495b9f5fdd3d6194d6a3",2025-08-19T21:20:53.561998
10,5,5,1.0,"5e69de922b3041b6b6a85ee26a618774,89f78d1d3a0f4dd3bd03e2a8bfce901d,68b95f44068b4dc7a76d9b110d84f23d,fe25a0a26a9647a991f2fa3941bfc14a,0fc21eed9a754b1da246018ca7898ff9",2025-08-19T21:21:00.868219
