round,algorithm,total_bytes,bytes_per_client,cumulative_bytes,bandwidth_efficiency,compression_ratio,communication_overhead,timestamp
1,FedProx,708090,708090.0,708090,1.4122498552443898,1.0,1.1,2025-08-19T21:19:03.911116
2,FedProx,2822886,705721.5,3530976,0.3542473907908431,1.0,1.1,2025-08-19T21:19:15.858958
3,FedProx,6358334,706481.5555555555,9889310,0.15727390225175336,1.0,1.1,2025-08-19T21:19:31.292659
4,FedProx,7059080,705908.0,16948390,0.1416615196314534,1.0,1.1,2025-08-19T21:19:46.423490
5,FedProx,10589316,705954.4,27537706,0.09443480579859927,1.0,1.1,2025-08-19T21:19:59.521889
6,FedProx,10600486,706699.0666666667,38138192,0.0943352974571166,1.0,1.1,2025-08-19T21:20:15.971331
7,FedProx,7058800,705880.0,45196992,0.14166713889046298,1.0,1.1,2025-08-19T21:20:30.529433
8,FedProx,7064456,706445.6,52261448,0.14155371623802315,1.0,1.1,2025-08-19T21:20:44.909848
9,FedProx,3534122,706824.4,55795570,0.28295571007452486,1.0,1.1,2025-08-19T21:20:53.567444
10,FedProx,3526140,705228.0,59321710,0.2835962270357955,1.0,1.1,2025-08-19T21:21:00.873800
