round,algorithm,class_name,precision,recall,f1_score,support,improvement_from_prev,timestamp
1,FedProx,Normal,0.19023689877961233,0.594170403587444,0.28820010875475804,446,0.28820010875475804,2025-08-19T21:19:05.126843
1,FedProx,DDoS,0.20465116279069767,0.17813765182186234,0.19047619047619047,494,0.19047619047619047,2025-08-19T21:19:05.126843
1,FedProx,DoS,0.14705882352941177,0.01141552511415525,0.0211864406779661,438,0.0211864406779661,2025-08-19T21:19:05.126843
1,FedProx,Reconnaissance,0.2518518518518518,0.07488986784140969,0.11544991511035654,454,0.11544991511035654,2025-08-19T21:19:05.126843
1,FedProx,Theft,0.14935064935064934,0.09829059829059829,0.11855670103092783,468,0.11855670103092783,2025-08-19T21:19:05.126843
2,FedProx,Normal,0.1897891231964484,0.24675324675324675,0.21455457967377667,693,-0.07364552908098138,2025-08-19T21:19:17.198265
2,FedProx,DDoS,0.1992373689227836,0.29772079772079774,0.23872073101085092,702,0.04824454053466046,2025-08-19T21:19:17.198265
2,FedProx,DoS,0.17766497461928935,0.05239520958083832,0.08092485549132948,668,0.05973841481336338,2025-08-19T21:19:17.198265
2,FedProx,Reconnaissance,0.1993911719939117,0.18876080691642652,0.1939304219096965,694,0.07848050679933996,2025-08-19T21:19:17.198265
2,FedProx,Theft,0.1780185758513932,0.16594516594516595,0.1717699775952203,693,0.05321327656429248,2025-08-19T21:19:17.198265
3,FedProx,Normal,0.19646365422396855,0.17411491584445735,0.18461538461538463,1723,-0.029939195058392043,2025-08-19T21:19:33.510559
3,FedProx,DDoS,0.2001479837217906,0.30274202574146614,0.2409799554565702,1787,0.002259224445719271,2025-08-19T21:19:33.510559
3,FedProx,DoS,0.1936813186813187,0.08264947245017586,0.11585866885784718,1706,0.0349338133665177,2025-08-19T21:19:33.510559
3,FedProx,Reconnaissance,0.20871327254305977,0.22427871529667937,0.2162162162162162,1837,0.022285794306519696,2025-08-19T21:19:33.510559
3,FedProx,Theft,0.20281543274244004,0.216471897607123,0.20942126514131898,1797,0.03765128754609867,2025-08-19T21:19:33.510559
4,FedProx,Normal,0.18789808917197454,0.1354764638346728,0.15743829219479655,1742,-0.027177092420588078,2025-08-19T21:19:48.629761
4,FedProx,DDoS,0.2057721139430285,0.3048306496390894,0.24569254866860596,1801,0.004712593212035765,2025-08-19T21:19:48.629761
4,FedProx,DoS,0.19426048565121412,0.1008595988538682,0.13278008298755184,1745,0.01692141412970466,2025-08-19T21:19:48.629761
