round,algorithm,class,tp,fp,fn,tn,timestamp
1,FedAvg,Normal,79,327,250,994,2025-08-19T21:15:48.467034
1,FedAvg,DDoS,85,426,246,893,2025-08-19T21:15:48.467034
1,FedAvg,DoS,102,408,238,902,2025-08-19T21:15:48.467034
1,FedAvg,Reconnaissance,38,157,295,1160,2025-08-19T21:15:48.467034
1,FedAvg,Theft,4,24,313,1309,2025-08-19T21:15:48.467034
2,FedAvg,Normal,171,688,594,2247,2025-08-19T21:15:59.476993
2,FedAvg,DDoS,206,832,533,2129,2025-08-19T21:15:59.476993
2,FedAvg,DoS,209,850,566,2075,2025-08-19T21:15:59.476993
2,FedAvg,Reconnaissance,91,313,668,2628,2025-08-19T21:15:59.476993
2,FedAvg,Theft,66,274,596,2764,2025-08-19T21:15:59.476993
3,FedAvg,Normal,356,1477,1276,4841,2025-08-19T21:16:18.812687
3,FedAvg,DDoS,426,1741,1181,4602,2025-08-19T21:16:18.812687
3,FedAvg,DoS,451,1742,1176,4581,2025-08-19T21:16:18.812687
3,FedAvg,Reconnaissance,166,597,1414,5773,2025-08-19T21:16:18.812687
3,FedAvg,Theft,181,813,1323,5633,2025-08-19T21:16:18.812687
4,FedAvg,Normal,374,1626,1320,5130,2025-08-19T21:16:33.985523
4,FedAvg,DDoS,468,1766,1263,4953,2025-08-19T21:16:33.985523
4,FedAvg,DoS,377,1529,1336,5208,2025-08-19T21:16:33.985523
4,FedAvg,Reconnaissance,188,743,1533,5986,2025-08-19T21:16:33.985523
4,FedAvg,Theft,261,1118,1330,5741,2025-08-19T21:16:33.985523
5,FedAvg,Normal,588,2458,1981,7723,2025-08-19T21:16:51.013606
5,FedAvg,DDoS,732,2753,1878,7387,2025-08-19T21:16:51.013606
5,FedAvg,DoS,548,2146,2017,8039,2025-08-19T21:16:51.013606
5,FedAvg,Reconnaissance,251,958,2327,9214,2025-08-19T21:16:51.013606
5,FedAvg,Theft,442,1874,1986,8448,2025-08-19T21:16:51.013606
6,FedAvg,Normal,566,2329,2003,7852,2025-08-19T21:17:04.761773
6,FedAvg,DDoS,699,2660,1911,7480,2025-08-19T21:17:04.761773
6,FedAvg,DoS,569,2224,1996,7961,2025-08-19T21:17:04.761773
6,FedAvg,Reconnaissance,267,1016,2311,9156,2025-08-19T21:17:04.761773
6,FedAvg,Theft,473,1947,1955,8375,2025-08-19T21:17:04.761773
7,FedAvg,Normal,359,1477,1297,5067,2025-08-19T21:17:19.278538
7,FedAvg,DDoS,431,1672,1245,4852,2025-08-19T21:17:19.278538
7,FedAvg,DoS,350,1334,1276,5240,2025-08-19T21:17:19.278538
7,FedAvg,Reconnaissance,166,597,1489,5948,2025-08-19T21:17:19.278538
7,FedAvg,Theft,351,1463,1236,5150,2025-08-19T21:17:19.278538
8,FedAvg,Normal,308,1346,1390,5406,2025-08-19T21:17:32.688741
8,FedAvg,DDoS,519,1908,1220,4803,2025-08-19T21:17:32.688741
8,FedAvg,DoS,329,1304,1358,5459,2025-08-19T21:17:32.688741
8,FedAvg,Reconnaissance,172,642,1579,6057,2025-08-19T21:17:32.688741
8,FedAvg,Theft,353,1569,1222,5306,2025-08-19T21:17:32.688741
9,FedAvg,Normal,192,770,774,3064,2025-08-19T21:17:40.117851
9,FedAvg,DDoS,230,972,740,2858,2025-08-19T21:17:40.117851
9,FedAvg,DoS,128,482,827,3363,2025-08-19T21:17:40.117851
9,FedAvg,Reconnaissance,100,355,864,3481,2025-08-19T21:17:40.117851
9,FedAvg,Theft,301,1270,644,2585,2025-08-19T21:17:40.117851
10,FedAvg,Normal,158,649,650,2493,2025-08-19T21:17:47.476538
10,FedAvg,DDoS,182,748,607,2413,2025-08-19T21:17:47.476538
10,FedAvg,DoS,111,418,679,2742,2025-08-19T21:17:47.476538
10,FedAvg,Reconnaissance,78,303,720,2849,2025-08-19T21:17:47.476538
10,FedAvg,Theft,259,1044,506,2141,2025-08-19T21:17:47.476538
