round,loss,accuracy,num_clients,zero_day_detection,timestamp
1,0.06780225851319054,0.18666666666666668,3,0.13842953419036938,2025-08-19T21:15:48.466528
2,0.0600896539116228,0.2008108108108108,5,0.23749288786633474,2025-08-19T21:15:59.476609
3,0.058978959824304164,0.19874213836477989,10,0.23856296720914244,2025-08-19T21:16:18.812083
4,0.057555072428383064,0.19739644970414202,10,0.25228218019762383,2025-08-19T21:16:33.984963
5,0.05732861186067263,0.20086274509803922,15,0.25860525366990367,2025-08-19T21:16:51.013130
6,0.05693310020016689,0.20188235294117646,15,0.24864681431317395,2025-08-19T21:17:04.761222
7,0.05663312160659854,0.20207317073170733,10,0.24468381588293647,2025-08-19T21:17:19.277921
8,0.055954131347364225,0.19893491124260354,10,0.27405948298996363,2025-08-19T21:17:32.688176
9,0.05519713391549885,0.198125,5,0.21447194898590646,2025-08-19T21:17:40.117145
10,0.055055386610800706,0.19949367088607595,5,0.20467955352332784,2025-08-19T21:17:47.476066
