round,algorithm,class_name,precision,recall,f1_score,support,improvement_from_prev,timestamp
1,FedAvg,Normal,0.19458128078817735,0.24012158054711247,0.21496598639455783,329,0.21496598639455783,2025-08-19T21:15:48.467209
1,FedAvg,DDoS,0.16634050880626222,0.256797583081571,0.20190023752969122,331,0.20190023752969122,2025-08-19T21:15:48.467209
1,FedAvg,DoS,0.2,0.3,0.24,340,0.24,2025-08-19T21:15:48.467209
1,FedAvg,Reconnaissance,0.19487179487179487,0.11411411411411411,0.14393939393939392,333,0.14393939393939392,2025-08-19T21:15:48.467209
1,FedAvg,Theft,0.14285714285714285,0.012618296529968454,0.023188405797101446,317,0.023188405797101446,2025-08-19T21:15:48.467209
2,FedAvg,Normal,0.1990686845168801,0.2235294117647059,0.21059113300492613,765,-0.0043748533896317,2025-08-19T21:15:59.477125
2,FedAvg,DDoS,0.19845857418111754,0.2787550744248985,0.23185143500281374,739,0.029951197473122526,2025-08-19T21:15:59.477125
2,FedAvg,DoS,0.19735599622285174,0.2696774193548387,0.22791712104689202,775,-0.012082878953107973,2025-08-19T21:15:59.477125
2,FedAvg,Reconnaissance,0.22524752475247525,0.11989459815546773,0.15649183147033535,759,0.01255243753094143,2025-08-19T21:15:59.477125
2,FedAvg,Theft,0.19411764705882353,0.09969788519637462,0.13173652694610777,662,0.10854812114900632,2025-08-19T21:15:59.477125
3,FedAvg,Normal,0.19421713038734315,0.2181372549019608,0.2054834054834055,1632,-0.005107727521520639,2025-08-19T21:16:18.812851
3,FedAvg,DDoS,0.1965851407475773,0.26509023024268824,0.2257551669316375,1607,-0.006096268071176247,2025-08-19T21:16:18.812851
3,FedAvg,DoS,0.2056543547651619,0.27719729563614015,0.2361256544502618,1627,0.008208533403369772,2025-08-19T21:16:18.812851
3,FedAvg,Reconnaissance,0.21756225425950196,0.10506329113924051,0.14169867690994453,1580,-0.01479315456039082,2025-08-19T21:16:18.812851
3,FedAvg,Theft,0.18209255533199195,0.12034574468085106,0.14491593274619696,1504,0.013179405800089194,2025-08-19T21:16:18.812851
4,FedAvg,Normal,0.187,0.22077922077922077,0.202490525175961,1694,-0.00299288030744449,2025-08-19T21:16:33.985673
4,FedAvg,DDoS,0.20948970456580127,0.2703639514731369,0.2360655737704918,1731,0.010310406838854314,2025-08-19T21:16:33.985673
4,FedAvg,DoS,0.19779643231899266,0.22008172796263864,0.20834484664271902,1713,-0.027780807807542773,2025-08-19T21:16:33.985673
4,FedAvg,Reconnaissance,0.20193340494092374,0.10923881464264962,0.1417797888386124,1721,8.111192866785966e-05,2025-08-19T21:16:33.985673
4,FedAvg,Theft,0.1892675852066715,0.16404776869893148,0.17575757575757575,1591,0.03084164301137879,2025-08-19T21:16:33.985673
5,FedAvg,Normal,0.19304005252790546,0.22888283378746593,0.20943900267141585,2569,0.006948477495454852,2025-08-19T21:16:51.013737
5,FedAvg,DDoS,0.21004304160688667,0.28045977011494255,0.24019688269073014,2610,0.00413130892023833,2025-08-19T21:16:51.013737
5,FedAvg,DoS,0.20341499628804752,0.21364522417153997,0.20840463966533562,2565,5.979302261660546e-05,2025-08-19T21:16:51.013737
5,FedAvg,Reconnaissance,0.2076095947063689,0.0973622963537626,0.13255875363084235,2578,-0.00922103520777004,2025-08-19T21:16:51.013737
5,FedAvg,Theft,0.19084628670120898,0.18204283360790774,0.18634064080944351,2428,0.010583065051867763,2025-08-19T21:16:51.013737
6,FedAvg,Normal,0.19550949913644214,0.2203191903464383,0.20717423133235724,2569,-0.0022647713390586133,2025-08-19T21:17:04.761894
6,FedAvg,DDoS,0.20809764810955642,0.267816091954023,0.23421008544144747,2610,-0.005986797249282666,2025-08-19T21:17:04.761894
6,FedAvg,DoS,0.20372359470103832,0.22183235867446394,0.21239268383725274,2565,0.003988044171917116,2025-08-19T21:17:04.761894
6,FedAvg,Reconnaissance,0.20810600155884645,0.10356865787432118,0.1383061383061383,2578,0.005747384675295952,2025-08-19T21:17:04.761894
6,FedAvg,Theft,0.19545454545454546,0.19481054365733114,0.19513201320132012,2428,0.008791372391876606,2025-08-19T21:17:04.761894
7,FedAvg,Normal,0.19553376906318082,0.21678743961352656,0.20561282932416952,1656,-0.0015614020081877178,2025-08-19T21:17:19.278716
7,FedAvg,DDoS,0.20494531621493106,0.2571599045346062,0.2281026726647261,1676,-0.00610741277672136,2025-08-19T21:17:19.278716
7,FedAvg,DoS,0.20783847980997625,0.21525215252152521,0.21148036253776437,1626,-0.0009123212994883723,2025-08-19T21:17:19.278716
7,FedAvg,Reconnaissance,0.21756225425950196,0.10030211480362537,0.13730355665839536,1655,-0.001002581647742945,2025-08-19T21:17:19.278716
7,FedAvg,Theft,0.19349503858875414,0.22117202268431002,0.2064098794472214,1587,0.011277866245901269,2025-08-19T21:17:19.278716
8,FedAvg,Normal,0.18621523579201935,0.18138987043580684,0.18377088305489261,1698,-0.021841946269276907,2025-08-19T21:17:32.688854
8,FedAvg,DDoS,0.2138442521631644,0.29844738355376654,0.2491598655784926,1739,0.02105719291376648,2025-08-19T21:17:32.688854
8,FedAvg,DoS,0.20146968769136558,0.1950207468879668,0.19819277108433733,1687,-0.013287591453427033,2025-08-19T21:17:32.688854
8,FedAvg,Reconnaissance,0.2113022113022113,0.09822958309537407,0.13411306042884988,1751,-0.003190496229545481,2025-08-19T21:17:32.688854
8,FedAvg,Theft,0.18366285119667014,0.22412698412698412,0.20188733199885617,1575,-0.004522547448365222,2025-08-19T21:17:32.688854
9,FedAvg,Normal,0.1995841995841996,0.19875776397515527,0.1991701244813278,966,0.015399241426435173,2025-08-19T21:17:40.117968
9,FedAvg,DDoS,0.1913477537437604,0.23711340206185566,0.21178637200736647,970,-0.037373493571126126,2025-08-19T21:17:40.117968
9,FedAvg,DoS,0.2098360655737705,0.13403141361256546,0.1635782747603834,955,-0.03461449632395394,2025-08-19T21:17:40.117968
9,FedAvg,Reconnaissance,0.21978021978021978,0.1037344398340249,0.14094432699083861,964,0.006831266561988736,2025-08-19T21:17:40.117968
9,FedAvg,Theft,0.19159770846594526,0.31851851851851853,0.23926868044515104,945,0.03738134844629487,2025-08-19T21:17:40.117968
10,FedAvg,Normal,0.19578686493184635,0.19554455445544555,0.19566563467492262,808,-0.0035044898064051644,2025-08-19T21:17:47.476669
10,FedAvg,DDoS,0.1956989247311828,0.23067173637515842,0.21175101803374052,789,-3.535397362594561e-05,2025-08-19T21:17:47.476669
10,FedAvg,DoS,0.20982986767485823,0.14050632911392405,0.1683093252463988,790,0.004731050486015409,2025-08-19T21:17:47.476669
10,FedAvg,Reconnaissance,0.2047244094488189,0.09774436090225563,0.13231552162849872,798,-0.008628805362339897,2025-08-19T21:17:47.476669
10,FedAvg,Theft,0.1987720644666155,0.338562091503268,0.2504835589941973,765,0.011214878549046237,2025-08-19T21:17:47.476669
