round,algorithm,loss_value,loss_improvement,convergence_rate,stability_metric,fedprox_convergence_bound,async_staleness_factor,theoretical_convergence,timestamp
1,FedAvg,4.664432406425476,0.0,0.0,1.0,0.0,0.0,N/A,2025-08-19T21:15:47.817158
2,FedAvg,3.9924784684181214,0.6719539380073547,0.1683049622741216,0.8985690545418907,0.0,0.0,N/A,2025-08-19T21:15:57.968516
3,FedAvg,3.661636165380478,0.3308423030376435,0.09035368018418781,0.8517420802342521,0.0,0.0,N/A,2025-08-19T21:16:16.852943
4,FedAvg,3.4377944593429564,0.22384170603752152,0.0651120096575823,0.8235112826184707,0.0,0.0,N/A,2025-08-19T21:16:31.728609
5,FedAvg,3.3648809629016454,0.07291349644131095,0.021668967563843712,0.8168575413785559,0.0,0.0,N/A,2025-08-19T21:16:47.844494
6,FedAvg,3.3053657023111978,0.05951526059044765,0.018005650796471033,0.8168398599402692,0.0,0.0,N/A,2025-08-19T21:17:01.441026
7,FedAvg,3.2615339231491087,0.043831779162089024,0.013439007594245142,0.9396372310990367,0.0,0.0,N/A,2025-08-19T21:17:17.317354
8,FedAvg,3.1738832497596743,0.08765067338943444,0.027616224823667136,0.976555954812805,0.0,0.0,N/A,2025-08-19T21:17:30.589092
9,FedAvg,3.0574609308242797,0.11642231893539456,0.038078105189068616,0.9847639954837969,0.0,0.0,N/A,2025-08-19T21:17:38.953559
10,FedAvg,2.8401347880363463,0.21732614278793339,0.07651965804700117,0.9699124438995826,0.0,0.0,N/A,2025-08-19T21:17:46.466593
