round,bytes_transmitted,communication_time,num_clients,timestamp
1,704794,5.132052898406982,1,2025-08-19T21:15:47.816816
2,2819698,9.49838376045227,4,2025-08-19T21:15:57.967360
3,5641916,17.372833967208862,8,2025-08-19T21:16:16.851112
4,7054604,12.910298585891724,10,2025-08-19T21:16:31.724766
5,10584220,13.855003833770752,15,2025-08-19T21:16:47.842636
6,10585980,10.423909187316895,15,2025-08-19T21:17:01.438930
7,7054338,12.55241060256958,10,2025-08-19T21:17:17.315808
8,7055906,11.307510137557983,10,2025-08-19T21:17:30.587814
9,3524486,6.261473655700684,5,2025-08-19T21:17:38.951903
10,3526782,6.3456642627716064,5,2025-08-19T21:17:46.465016
