round,num_clients,target_clients,participation_rate,client_ids,timestamp
1,1,5,0.2,4579c71cbb544f20aaf23b9c4d6145d0,2025-08-19T21:15:47.815772
2,4,5,0.8,"4579c71cbb544f20aaf23b9c4d6145d0,584940fcb7584e29a401e1dd81cea521,6970200b35e045fbb57b2456777ee543,74f1ce7aed9f48e2ac52a6bf3b70392f",2025-08-19T21:15:57.962671
3,8,10,0.8,"422051ee094c4b488b4a7c0ec647f9cf,a865c242566142f789f331b390985dd3,bab0a22e7f1043baa1dd74f6e8d081da,74f1ce7aed9f48e2ac52a6bf3b70392f,6970200b35e045fbb57b2456777ee543,584940fcb7584e29a401e1dd81cea521,1d809290e6d748469e1503322c0cf2d7,4579c71cbb544f20aaf23b9c4d6145d0",2025-08-19T21:16:16.842429
4,10,10,1.0,"bab0a22e7f1043baa1dd74f6e8d081da,74f1ce7aed9f48e2ac52a6bf3b70392f,f57e2a3eb57d4560bf78176c094d81bd,6572783b41064161b549ff5303f531a2,22d513105931423e9056d672f9732885,584940fcb7584e29a401e1dd81cea521,e0b6d5b51df8462b942f04fcb49dad13,1d809290e6d748469e1503322c0cf2d7,ab0b247237824229a3d6665165d3e788,7da33288392f418aaa3d31e952d18c25",2025-08-19T21:16:31.678217
5,15,15,1.0,"1d809290e6d748469e1503322c0cf2d7,22d513105931423e9056d672f9732885,422051ee094c4b488b4a7c0ec647f9cf,6572783b41064161b549ff5303f531a2,4c0491d856f14f2a8a91c0119dbf964e,f57e2a3eb57d4560bf78176c094d81bd,584940fcb7584e29a401e1dd81cea521,6970200b35e045fbb57b2456777ee543,4579c71cbb544f20aaf23b9c4d6145d0,74f1ce7aed9f48e2ac52a6bf3b70392f,e0b6d5b51df8462b942f04fcb49dad13,ab0b247237824229a3d6665165d3e788,bab0a22e7f1043baa1dd74f6e8d081da,a865c242566142f789f331b390985dd3,7da33288392f418aaa3d31e952d18c25",2025-08-19T21:16:47.826998
6,15,15,1.0,"7da33288392f418aaa3d31e952d18c25,f57e2a3eb57d4560bf78176c094d81bd,e0b6d5b51df8462b942f04fcb49dad13,422051ee094c4b488b4a7c0ec647f9cf,1d809290e6d748469e1503322c0cf2d7,4c0491d856f14f2a8a91c0119dbf964e,22d513105931423e9056d672f9732885,6572783b41064161b549ff5303f531a2,6970200b35e045fbb57b2456777ee543,584940fcb7584e29a401e1dd81cea521,bab0a22e7f1043baa1dd74f6e8d081da,ab0b247237824229a3d6665165d3e788,4579c71cbb544f20aaf23b9c4d6145d0,a865c242566142f789f331b390985dd3,74f1ce7aed9f48e2ac52a6bf3b70392f",2025-08-19T21:17:01.424986
7,10,10,1.0,"4579c71cbb544f20aaf23b9c4d6145d0,bab0a22e7f1043baa1dd74f6e8d081da,584940fcb7584e29a401e1dd81cea521,f57e2a3eb57d4560bf78176c094d81bd,a865c242566142f789f331b390985dd3,7da33288392f418aaa3d31e952d18c25,6970200b35e045fbb57b2456777ee543,e0b6d5b51df8462b942f04fcb49dad13,1d809290e6d748469e1503322c0cf2d7,74f1ce7aed9f48e2ac52a6bf3b70392f",2025-08-19T21:17:17.305075
8,10,10,1.0,"a865c242566142f789f331b390985dd3,422051ee094c4b488b4a7c0ec647f9cf,6970200b35e045fbb57b2456777ee543,4579c71cbb544f20aaf23b9c4d6145d0,e0b6d5b51df8462b942f04fcb49dad13,584940fcb7584e29a401e1dd81cea521,bab0a22e7f1043baa1dd74f6e8d081da,f57e2a3eb57d4560bf78176c094d81bd,22d513105931423e9056d672f9732885,1d809290e6d748469e1503322c0cf2d7",2025-08-19T21:17:30.577342
9,5,5,1.0,"6572783b41064161b549ff5303f531a2,22d513105931423e9056d672f9732885,e0b6d5b51df8462b942f04fcb49dad13,422051ee094c4b488b4a7c0ec647f9cf,f57e2a3eb57d4560bf78176c094d81bd",2025-08-19T21:17:38.946518
10,5,5,1.0,"4579c71cbb544f20aaf23b9c4d6145d0,ab0b247237824229a3d6665165d3e788,7da33288392f418aaa3d31e952d18c25,1d809290e6d748469e1503322c0cf2d7,6572783b41064161b549ff5303f531a2",2025-08-19T21:17:46.459650
