round,algorithm,class,tp,fp,fn,tn,timestamp
1,FedAvg,Normal,97,397,192,664,2025-08-19T21:46:46.591626
1,FedAvg,DDoS,7,35,254,1054,2025-08-19T21:46:46.591626
1,FedAvg,DoS,77,285,186,802,2025-08-19T21:46:46.591626
1,FedAvg,Reconnaissance,2,36,236,1076,2025-08-19T21:46:46.591626
1,FedAvg,Theft,108,306,191,745,2025-08-19T21:46:46.591626
2,FedAvg,Normal,138,576,333,1203,2025-08-19T21:46:54.169841
2,FedAvg,DDoS,23,104,419,1704,2025-08-19T21:46:54.169841
2,FedAvg,DoS,98,394,330,1428,2025-08-19T21:46:54.169841
2,FedAvg,Reconnaissance,62,246,375,1567,2025-08-19T21:46:54.169841
2,FedAvg,Theft,128,481,344,1297,2025-08-19T21:46:54.169841
3,FedAvg,Normal,290,1057,626,2527,2025-08-19T21:47:09.076234
3,FedAvg,DDoS,62,258,847,3333,2025-08-19T21:47:09.076234
3,FedAvg,DoS,197,742,680,2881,2025-08-19T21:47:09.076234
3,FedAvg,Reconnaissance,184,695,700,2921,2025-08-19T21:47:09.076234
3,FedAvg,Theft,197,818,717,2768,2025-08-19T21:47:09.076234
4,FedAvg,Normal,252,933,652,2663,2025-08-19T21:47:24.058225
4,FedAvg,DDoS,72,266,837,3325,2025-08-19T21:47:24.058225
4,FedAvg,DoS,184,679,708,2929,2025-08-19T21:47:24.058225
4,FedAvg,Reconnaissance,222,834,684,2760,2025-08-19T21:47:24.058225
4,FedAvg,Theft,210,848,679,2763,2025-08-19T21:47:24.058225
5,FedAvg,Normal,376,1392,984,3998,2025-08-19T21:47:37.878416
5,FedAvg,DDoS,112,439,1263,4936,2025-08-19T21:47:37.878416
5,FedAvg,DoS,271,1017,1062,4400,2025-08-19T21:47:37.878416
5,FedAvg,Reconnaissance,332,1310,990,4118,2025-08-19T21:47:37.878416
5,FedAvg,Theft,308,1193,1052,4197,2025-08-19T21:47:37.878416
6,FedAvg,Normal,354,1332,1006,4058,2025-08-19T21:47:49.445049
6,FedAvg,DDoS,109,435,1266,4940,2025-08-19T21:47:49.445049
6,FedAvg,DoS,267,987,1066,4430,2025-08-19T21:47:49.445049
6,FedAvg,Reconnaissance,352,1397,970,4031,2025-08-19T21:47:49.445049
6,FedAvg,Theft,314,1203,1046,4187,2025-08-19T21:47:49.445049
7,FedAvg,Normal,231,850,687,2732,2025-08-19T21:48:03.442511
7,FedAvg,DDoS,73,334,829,3264,2025-08-19T21:48:03.442511
7,FedAvg,DoS,165,651,709,2975,2025-08-19T21:48:03.442511
7,FedAvg,Reconnaissance,256,988,624,2632,2025-08-19T21:48:03.442511
7,FedAvg,Theft,186,766,740,2808,2025-08-19T21:48:03.442511
8,FedAvg,Normal,214,823,673,2790,2025-08-19T21:48:15.893697
8,FedAvg,DDoS,74,354,850,3222,2025-08-19T21:48:15.893697
8,FedAvg,DoS,170,588,730,3012,2025-08-19T21:48:15.893697
8,FedAvg,Reconnaissance,253,1011,617,2619,2025-08-19T21:48:15.893697
8,FedAvg,Theft,207,806,712,2775,2025-08-19T21:48:15.893697
9,FedAvg,Normal,114,368,374,1394,2025-08-19T21:48:23.359459
9,FedAvg,DDoS,47,193,405,1605,2025-08-19T21:48:23.359459
9,FedAvg,DoS,84,345,354,1467,2025-08-19T21:48:23.359459
9,FedAvg,Reconnaissance,155,529,299,1267,2025-08-19T21:48:23.359459
9,FedAvg,Theft,75,340,343,1492,2025-08-19T21:48:23.359459
10,FedAvg,Normal,94,401,340,1415,2025-08-19T21:48:33.004183
10,FedAvg,DDoS,39,179,426,1606,2025-08-19T21:48:33.004183
10,FedAvg,DoS,91,369,365,1425,2025-08-19T21:48:33.004183
10,FedAvg,Reconnaissance,131,480,314,1325,2025-08-19T21:48:33.004183
10,FedAvg,Theft,90,376,360,1424,2025-08-19T21:48:33.004183
