round,loss,accuracy,num_clients,zero_day_detection,timestamp
1,0.07428474724292755,0.21555555555555556,3,0.11241309506827124,2025-08-19T21:46:46.591242
2,0.06567740738391876,0.19955555555555557,5,0.14880883334864686,2025-08-19T21:46:54.169413
3,0.06240137442946434,0.20666666666666667,10,0.1344360126131782,2025-08-19T21:47:09.075670
4,0.06084499172866344,0.2088888888888889,10,0.18822626964862946,2025-08-19T21:47:24.057658
5,0.06083367218573888,0.20725925925925925,15,0.17317165804673254,2025-08-19T21:47:37.877844
6,0.060510048270225526,0.2068148148148148,15,0.17261828213522526,2025-08-19T21:47:49.444127
7,0.05994968265295029,0.20244444444444445,10,0.14105017241621234,2025-08-19T21:48:03.441946
8,0.059099705144762996,0.204,10,0.16333091732977267,2025-08-19T21:48:15.893139
9,0.0572041817009449,0.2111111111111111,5,0.15822933515677653,2025-08-19T21:48:23.358871
10,0.05810248553752899,0.19777777777777777,5,0.21572366652689523,2025-08-19T21:48:33.003666
