round,algorithm,loss_value,loss_improvement,convergence_rate,stability_metric,fedprox_convergence_bound,async_staleness_factor,theoretical_convergence,timestamp
1,FedAvg,4.567897496223449,0.0,0.0,1.0,0.0,0.0,N/A,2025-08-19T21:46:46.050712
2,FedAvg,3.91797251701355,0.6499249792098993,0.1658829857503188,0.9044857448762524,0.0,0.0,N/A,2025-08-19T21:46:53.310972
3,FedAvg,3.5183158254623415,0.39965669155120853,0.11359318247067535,0.8424008713146719,0.0,0.0,N/A,2025-08-19T21:47:07.794445
4,FedAvg,3.373644504070282,0.1446713213920594,0.0428827996599862,0.8235870123725557,0.0,0.0,N/A,2025-08-19T21:47:22.923244
5,FedAvg,3.296384677357144,0.07725982671313814,0.02343774597783919,0.8200606133332012,0.0,0.0,N/A,2025-08-19T21:47:36.162767
6,FedAvg,3.2170157522625393,0.07936892509460458,0.024671599770310144,0.8196089245151659,0.0,0.0,N/A,2025-08-19T21:47:47.708251
7,FedAvg,3.151835433959961,0.06518031830257831,0.020680114704049082,0.9392828653624378,0.0,0.0,N/A,2025-08-19T21:48:02.132903
8,FedAvg,3.0633294215202334,0.08850601243972767,0.028892097538698577,0.9783807274673462,0.0,0.0,N/A,2025-08-19T21:48:14.753809
9,FedAvg,2.9399392557144166,0.12339016580581674,0.041970311313739184,0.9797182966708727,0.0,0.0,N/A,2025-08-19T21:48:22.468740
10,FedAvg,2.7917830286026,0.14815622711181664,0.053068675321081386,0.971871581784358,0.0,0.0,N/A,2025-08-19T21:48:32.279152
