round,threats_detected,rules_deployed,avg_response_time,mitigation_effectiveness,timestamp
1,0,0,0,0.0,2025-08-19T21:46:46.050644
2,2,2,0.08928775787353516,1.0,2025-08-19T21:46:53.310714
3,8,7,0.07448877607073102,0.875,2025-08-19T21:47:07.794140
4,14,12,0.06802876790364583,0.8571428571428571,2025-08-19T21:47:22.922937
5,21,18,0.08357895745171441,0.8571428571428571,2025-08-19T21:47:36.162112
6,29,26,0.07987022399902344,0.896551724137931,2025-08-19T21:47:47.707654
7,36,32,0.07614493370056152,0.8888888888888888,2025-08-19T21:48:02.132720
8,40,36,0.0764661365085178,0.9,2025-08-19T21:48:14.753591
9,42,38,0.07863421189157586,0.9047619047619048,2025-08-19T21:48:22.468465
10,44,40,0.07910728454589844,0.9090909090909091,2025-08-19T21:48:32.278801
