round,algorithm,total_bytes,bytes_per_client,cumulative_bytes,bandwidth_efficiency,compression_ratio,communication_overhead,timestamp
1,FedAvg,711620,711620.0,711620,1.4052443719962902,1.0,1.0,2025-08-19T21:46:46.050336
2,FedAvg,2128770,709590.0,2840390,0.4697548349516387,1.0,1.0,2025-08-19T21:46:53.309812
3,FedAvg,4968368,709766.8571428572,7808758,0.201273335630533,1.0,1.0,2025-08-19T21:47:07.792644
4,FedAvg,7100172,710017.2,14908930,0.1408416584837663,1.0,1.0,2025-08-19T21:47:22.921617
5,FedAvg,10645700,709713.3333333334,25554630,0.09393464027729506,1.0,1.0,2025-08-19T21:47:36.158749
6,FedAvg,10643624,709574.9333333333,36198254,0.09395296188591405,1.0,1.0,2025-08-19T21:47:47.705426
7,FedAvg,7094302,709430.2,43292556,0.1409581943368072,1.0,1.0,2025-08-19T21:48:02.131256
8,FedAvg,7087976,708797.6,50380532,0.14108399915575334,1.0,1.0,2025-08-19T21:48:14.752155
9,FedAvg,3547006,709401.2,53927538,0.28192791328799555,1.0,1.0,2025-08-19T21:48:22.467332
10,FedAvg,3550022,710004.4,57477560,0.2816883951705088,1.0,1.0,2025-08-19T21:48:32.277784
