round,algorithm,loss_value,loss_improvement,convergence_rate,stability_metric,fedprox_convergence_bound,async_staleness_factor,theoretical_convergence,timestamp
1,AsyncFL,4.714673490524292,0.0,0.0,1.0,0.0,2,Staleness-adjusted: 1.000000,2025-08-19T21:52:48.609931
2,AsyncFL,3.8609050369262694,0.8537684535980223,0.2211316894439138,0.8458589944141278,0.0,3,Staleness-adjusted: 1.000000,2025-08-19T21:52:57.629985
3,AsyncFL,3.4932749349730354,0.367630101953234,0.1052393839009616,0.7925404754946005,0.0,1,Staleness-adjusted: 1.000000,2025-08-19T21:53:13.325470
4,AsyncFL,3.4062497653961183,0.08702516957691708,0.025548675396913176,0.7888712226244146,0.0,2,Staleness-adjusted: 1.000000,2025-08-19T21:53:26.825441
5,AsyncFL,3.2946351181136238,0.1116146472824946,0.03387769609716316,0.789359919764266,0.0,3,Staleness-adjusted: 1.000000,2025-08-19T21:53:40.103590
6,AsyncFL,3.228078795009189,0.0665563231044346,0.02061793634261184,0.7931582693750138,0.0,1,Staleness-adjusted: 1.000000,2025-08-19T21:53:51.949741
7,AsyncFL,3.166071768760681,0.06200702624850818,0.01958484544170016,0.9499457574385234,0.0,2,Staleness-adjusted: 1.000000,2025-08-19T21:54:06.581195
8,AsyncFL,3.0522351837158204,0.1138365850448606,0.037296138139091516,0.9789633485447232,0.0,3,Staleness-adjusted: 1.000000,2025-08-19T21:54:20.133601
9,AsyncFL,2.937448103427887,0.11478708028793339,0.039077143236669054,0.9768825160694578,0.0,1,Staleness-adjusted: 1.000000,2025-08-19T21:54:26.236585
10,AsyncFL,2.7995825300216675,0.13786557340621952,0.049245047048194185,0.9716395947245818,0.0,2,Staleness-adjusted: 1.000000,2025-08-19T21:54:33.044391
