round,num_clients,target_clients,participation_rate,client_ids,timestamp
1,1,5,0.2,5947bc8d8e0c4c97a5e2b48a013ba8a6,2025-08-19T21:52:48.607525
2,4,5,0.8,"2265a75d21be4e208c652899508eca25,59e13a8e859e45c3b4bb215740c87d81,de6d0e58489644c38875bafa3a20dcde,5947bc8d8e0c4c97a5e2b48a013ba8a6",2025-08-19T21:52:57.624388
3,7,10,0.7,"b10da65c249d4d05981a1568ae9b23fe,9a844cc277b640a483a5ca1bedc96444,de6d0e58489644c38875bafa3a20dcde,72a3d329d6bd46fc831e0b690dde0a17,59e13a8e859e45c3b4bb215740c87d81,5947bc8d8e0c4c97a5e2b48a013ba8a6,2265a75d21be4e208c652899508eca25",2025-08-19T21:53:13.315565
4,10,10,1.0,"1c5e8cd35edc45acad6124ae6877d98f,605ecde92ee04444aaf5a6daeddb5d5b,9a844cc277b640a483a5ca1bedc96444,1c5c785ab9874ea5bf35be69b29ddfe2,2265a75d21be4e208c652899508eca25,59e13a8e859e45c3b4bb215740c87d81,0ce555c9f4eb4e039578cea6c6c1fc89,b10da65c249d4d05981a1568ae9b23fe,de6d0e58489644c38875bafa3a20dcde,1f182ba001a94cb09a9246f6ad41146b",2025-08-19T21:53:26.813183
5,15,15,1.0,"1f182ba001a94cb09a9246f6ad41146b,f67f82f6ad934f5e894cb258c42e8f13,0ce555c9f4eb4e039578cea6c6c1fc89,b10da65c249d4d05981a1568ae9b23fe,cc9e34690e3f480480a1d35f81e6f02a,5947bc8d8e0c4c97a5e2b48a013ba8a6,2265a75d21be4e208c652899508eca25,9a844cc277b640a483a5ca1bedc96444,59e13a8e859e45c3b4bb215740c87d81,85a5bb37f20348859eed6f2262dd3762,605ecde92ee04444aaf5a6daeddb5d5b,72a3d329d6bd46fc831e0b690dde0a17,1c5e8cd35edc45acad6124ae6877d98f,de6d0e58489644c38875bafa3a20dcde,1c5c785ab9874ea5bf35be69b29ddfe2",2025-08-19T21:53:40.085588
6,15,15,1.0,"5947bc8d8e0c4c97a5e2b48a013ba8a6,1c5c785ab9874ea5bf35be69b29ddfe2,2265a75d21be4e208c652899508eca25,de6d0e58489644c38875bafa3a20dcde,85a5bb37f20348859eed6f2262dd3762,1c5e8cd35edc45acad6124ae6877d98f,605ecde92ee04444aaf5a6daeddb5d5b,72a3d329d6bd46fc831e0b690dde0a17,9a844cc277b640a483a5ca1bedc96444,1f182ba001a94cb09a9246f6ad41146b,cc9e34690e3f480480a1d35f81e6f02a,b10da65c249d4d05981a1568ae9b23fe,59e13a8e859e45c3b4bb215740c87d81,0ce555c9f4eb4e039578cea6c6c1fc89,f67f82f6ad934f5e894cb258c42e8f13",2025-08-19T21:53:51.931027
7,10,10,1.0,"2265a75d21be4e208c652899508eca25,de6d0e58489644c38875bafa3a20dcde,1c5c785ab9874ea5bf35be69b29ddfe2,85a5bb37f20348859eed6f2262dd3762,72a3d329d6bd46fc831e0b690dde0a17,605ecde92ee04444aaf5a6daeddb5d5b,59e13a8e859e45c3b4bb215740c87d81,f67f82f6ad934f5e894cb258c42e8f13,1c5e8cd35edc45acad6124ae6877d98f,1f182ba001a94cb09a9246f6ad41146b",2025-08-19T21:54:06.568510
8,10,10,1.0,"cc9e34690e3f480480a1d35f81e6f02a,0ce555c9f4eb4e039578cea6c6c1fc89,1f182ba001a94cb09a9246f6ad41146b,9a844cc277b640a483a5ca1bedc96444,b10da65c249d4d05981a1568ae9b23fe,de6d0e58489644c38875bafa3a20dcde,605ecde92ee04444aaf5a6daeddb5d5b,2265a75d21be4e208c652899508eca25,f67f82f6ad934f5e894cb258c42e8f13,1c5c785ab9874ea5bf35be69b29ddfe2",2025-08-19T21:54:20.121336
9,5,5,1.0,"72a3d329d6bd46fc831e0b690dde0a17,1f182ba001a94cb09a9246f6ad41146b,605ecde92ee04444aaf5a6daeddb5d5b,85a5bb37f20348859eed6f2262dd3762,de6d0e58489644c38875bafa3a20dcde",2025-08-19T21:54:26.228665
10,5,5,1.0,"de6d0e58489644c38875bafa3a20dcde,1f182ba001a94cb09a9246f6ad41146b,b10da65c249d4d05981a1568ae9b23fe,1c5e8cd35edc45acad6124ae6877d98f,1c5c785ab9874ea5bf35be69b29ddfe2",2025-08-19T21:54:33.036941
