round,algorithm,class,tp,fp,fn,tn,timestamp
1,AsyncFL,Normal,102,381,187,680,2025-08-19T21:52:49.162649
1,AsyncFL,DDoS,11,31,250,1058,2025-08-19T21:52:49.162649
1,AsyncFL,DoS,64,249,199,838,2025-08-19T21:52:49.162649
1,AsyncFL,Reconnaissance,9,40,229,1072,2025-08-19T21:52:49.162649
1,AsyncFL,Theft,111,352,188,699,2025-08-19T21:52:49.162649
2,AsyncFL,Normal,119,498,333,1300,2025-08-19T21:52:58.625378
2,AsyncFL,DDoS,26,111,428,1685,2025-08-19T21:52:58.625378
2,AsyncFL,DoS,85,334,347,1484,2025-08-19T21:52:58.625378
2,AsyncFL,Reconnaissance,71,268,373,1538,2025-08-19T21:52:58.625378
2,AsyncFL,Theft,146,592,322,1190,2025-08-19T21:52:58.625378
3,AsyncFL,Normal,256,968,660,2616,2025-08-19T21:53:14.538524
3,AsyncFL,DDoS,69,238,856,3337,2025-08-19T21:53:14.538524
3,AsyncFL,DoS,162,698,711,2929,2025-08-19T21:53:14.538524
3,AsyncFL,Reconnaissance,193,756,687,2864,2025-08-19T21:53:14.538524
3,AsyncFL,Theft,242,918,664,2676,2025-08-19T21:53:14.538524
4,AsyncFL,Normal,224,851,707,2718,2025-08-19T21:53:27.964205
4,AsyncFL,DDoS,72,271,836,3321,2025-08-19T21:53:27.964205
4,AsyncFL,DoS,164,645,720,2971,2025-08-19T21:53:27.964205
4,AsyncFL,Reconnaissance,204,843,665,2788,2025-08-19T21:53:27.964205
4,AsyncFL,Theft,254,972,654,2620,2025-08-19T21:53:27.964205
5,AsyncFL,Normal,341,1404,1019,3986,2025-08-19T21:53:41.835909
5,AsyncFL,DDoS,108,440,1267,4935,2025-08-19T21:53:41.835909
5,AsyncFL,DoS,235,943,1098,4474,2025-08-19T21:53:41.835909
5,AsyncFL,Reconnaissance,326,1293,996,4135,2025-08-19T21:53:41.835909
5,AsyncFL,Theft,349,1311,1011,4079,2025-08-19T21:53:41.835909
6,AsyncFL,Normal,336,1345,1024,4045,2025-08-19T21:53:53.742198
6,AsyncFL,DDoS,110,468,1265,4907,2025-08-19T21:53:53.742198
6,AsyncFL,DoS,226,897,1107,4520,2025-08-19T21:53:53.742198
6,AsyncFL,Reconnaissance,351,1365,971,4063,2025-08-19T21:53:53.742198
6,AsyncFL,Theft,346,1306,1014,4084,2025-08-19T21:53:53.742198
7,AsyncFL,Normal,207,806,707,2780,2025-08-19T21:54:07.720834
7,AsyncFL,DDoS,72,344,819,3265,2025-08-19T21:54:07.720834
7,AsyncFL,DoS,157,565,746,3032,2025-08-19T21:54:07.720834
7,AsyncFL,Reconnaissance,272,1060,620,2548,2025-08-19T21:54:07.720834
7,AsyncFL,Theft,208,809,692,2791,2025-08-19T21:54:07.720834
8,AsyncFL,Normal,207,837,703,2753,2025-08-19T21:54:19.955348
8,AsyncFL,DDoS,72,362,855,3211,2025-08-19T21:54:19.955348
8,AsyncFL,DoS,138,537,763,3062,2025-08-19T21:54:19.955348
8,AsyncFL,Reconnaissance,252,1037,612,2599,2025-08-19T21:54:19.955348
8,AsyncFL,Theft,217,841,681,2761,2025-08-19T21:54:19.955348
9,AsyncFL,Normal,92,348,351,1459,2025-08-19T21:54:26.833992
9,AsyncFL,DDoS,34,207,437,1572,2025-08-19T21:54:26.833992
9,AsyncFL,DoS,82,331,338,1499,2025-08-19T21:54:26.833992
9,AsyncFL,Reconnaissance,133,530,319,1268,2025-08-19T21:54:26.833992
9,AsyncFL,Theft,106,387,358,1399,2025-08-19T21:54:26.833992
10,AsyncFL,Normal,78,347,363,1462,2025-08-19T21:54:33.628567
10,AsyncFL,DDoS,41,193,403,1613,2025-08-19T21:54:33.628567
10,AsyncFL,DoS,79,328,386,1457,2025-08-19T21:54:33.628567
10,AsyncFL,Reconnaissance,161,601,297,1191,2025-08-19T21:54:33.628567
10,AsyncFL,Theft,80,342,362,1466,2025-08-19T21:54:33.628567
