round,threats_detected,rules_deployed,avg_response_time,mitigation_effectiveness,timestamp
1,1,1,0.08177757263183594,1.0,2025-08-19T21:52:48.609735
2,5,5,0.048542022705078125,1.0,2025-08-19T21:52:57.629774
3,7,7,0.07002694266183036,1.0,2025-08-19T21:53:13.324791
4,11,11,0.06732073697176846,1.0,2025-08-19T21:53:26.825166
5,19,18,0.06369749704996745,0.9473684210526315,2025-08-19T21:53:40.103321
6,30,29,0.06466898424872036,0.9666666666666667,2025-08-19T21:53:51.949453
7,34,33,0.06745078346946023,0.9705882352941176,2025-08-19T21:54:06.580800
8,40,39,0.0673990983229417,0.975,2025-08-19T21:54:20.133411
9,43,42,0.0715085438319615,0.9767441860465116,2025-08-19T21:54:26.236272
10,45,44,0.07393685254183682,0.9777777777777777,2025-08-19T21:54:33.043835
