round,algorithm,class_name,precision,recall,f1_score,support,improvement_from_prev,timestamp
1,AsyncFL,Normal,0.2111801242236025,0.35294117647058826,0.26424870466321243,289,0.26424870466321243,2025-08-19T21:52:49.162751
1,AsyncFL,DDoS,0.2619047619047619,0.0421455938697318,0.07260726072607261,261,0.07260726072607261,2025-08-19T21:52:49.162751
1,AsyncFL,DoS,0.20447284345047922,0.24334600760456274,0.2222222222222222,263,0.2222222222222222,2025-08-19T21:52:49.162751
1,AsyncFL,Reconnaissance,0.1836734693877551,0.037815126050420166,0.0627177700348432,238,0.0627177700348432,2025-08-19T21:52:49.162751
1,AsyncFL,Theft,0.23974082073434125,0.3712374581939799,0.2913385826771654,299,0.2913385826771654,2025-08-19T21:52:49.162751
2,AsyncFL,Normal,0.19286871961102106,0.26327433628318586,0.2226379794200187,452,-0.04161072524319373,2025-08-19T21:52:58.625477
2,AsyncFL,DDoS,0.1897810218978102,0.05726872246696035,0.08798646362098139,454,0.01537920289490878,2025-08-19T21:52:58.625477
2,AsyncFL,DoS,0.20286396181384247,0.19675925925925927,0.199764982373678,432,-0.022457239848544197,2025-08-19T21:52:58.625477
2,AsyncFL,Reconnaissance,0.20943952802359883,0.15990990990990991,0.18135376756066413,444,0.11863599752582092,2025-08-19T21:52:58.625477
2,AsyncFL,Theft,0.1978319783197832,0.31196581196581197,0.24212271973466007,468,-0.04921586294250532,2025-08-19T21:52:58.625477
3,AsyncFL,Normal,0.20915032679738563,0.2794759825327511,0.2392523364485981,916,0.016614357028579413,2025-08-19T21:53:14.538785
3,AsyncFL,DDoS,0.2247557003257329,0.0745945945945946,0.11201298701298701,925,0.024026523392005616,2025-08-19T21:53:14.538785
3,AsyncFL,DoS,0.1883720930232558,0.18556701030927836,0.1869590305828044,873,-0.012805951790873626,2025-08-19T21:53:14.538785
3,AsyncFL,Reconnaissance,0.20337197049525815,0.21931818181818183,0.21104428649535265,880,0.02969051893468852,2025-08-19T21:53:14.538785
3,AsyncFL,Theft,0.20862068965517241,0.2671081677704194,0.23426911907066797,906,-0.0078536006639921,2025-08-19T21:53:14.538785
4,AsyncFL,Normal,0.20837209302325582,0.24060150375939848,0.22333000997008973,931,-0.015922326478508386,2025-08-19T21:53:27.964354
4,AsyncFL,DDoS,0.2099125364431487,0.07929515418502203,0.11510791366906474,908,0.0030949266560777317,2025-08-19T21:53:27.964354
4,AsyncFL,DoS,0.2027194066749073,0.18552036199095023,0.19373892498523332,884,0.006779894402428932,2025-08-19T21:53:27.964354
4,AsyncFL,Reconnaissance,0.19484240687679083,0.23475258918296893,0.21294363256784968,869,0.0018993460724970324,2025-08-19T21:53:27.964354
4,AsyncFL,Theft,0.20717781402936378,0.27973568281938327,0.2380506091846298,908,0.0037814901139618384,2025-08-19T21:53:27.964354
5,AsyncFL,Normal,0.19541547277936963,0.25073529411764706,0.21964573268921095,1360,-0.0036842772808787783,2025-08-19T21:53:41.836087
5,AsyncFL,DDoS,0.19708029197080293,0.07854545454545454,0.11232449297971919,1375,-0.0027834206893455476,2025-08-19T21:53:41.836087
5,AsyncFL,DoS,0.199490662139219,0.17629407351837958,0.1871764237355635,1333,-0.006562501249669811,2025-08-19T21:53:41.836087
5,AsyncFL,Reconnaissance,0.20135886349598517,0.24659606656580937,0.2216933015980959,1322,0.00874966903024621,2025-08-19T21:53:41.836087
5,AsyncFL,Theft,0.21024096385542168,0.2566176470588235,0.23112582781456953,1360,-0.006924781370060279,2025-08-19T21:53:41.836087
6,AsyncFL,Normal,0.1998810232004759,0.24705882352941178,0.22097994080894443,1360,0.0013342081197334765,2025-08-19T21:53:53.742359
6,AsyncFL,DDoS,0.1903114186851211,0.08,0.11264720942140298,1375,0.00032271644168378744,2025-08-19T21:53:53.742359
6,AsyncFL,DoS,0.201246660730187,0.1695423855963991,0.18403908794788273,1333,-0.003137335787680773,2025-08-19T21:53:53.742359
6,AsyncFL,Reconnaissance,0.20454545454545456,0.26550680786686837,0.23107307439104674,1322,0.009379772792950852,2025-08-19T21:53:53.742359
6,AsyncFL,Theft,0.20944309927360774,0.25441176470588234,0.22974767596281542,1360,-0.0013781518517541058,2025-08-19T21:53:53.742359
7,AsyncFL,Normal,0.20434353405725567,0.22647702407002188,0.21484172288531395,914,-0.006138217923630479,2025-08-19T21:54:07.720996
7,AsyncFL,DDoS,0.17307692307692307,0.08080808080808081,0.11017597551644988,891,-0.002471233904953102,2025-08-19T21:54:07.720996
7,AsyncFL,DoS,0.21745152354570638,0.17386489479512734,0.1932307692307692,903,0.009191681282886471,2025-08-19T21:54:07.720996
7,AsyncFL,Reconnaissance,0.2042042042042042,0.30493273542600896,0.24460431654676257,892,0.013531242155715828,2025-08-19T21:54:07.720996
7,AsyncFL,Theft,0.20452310717797442,0.2311111111111111,0.21700573813249865,900,-0.012741937830316769,2025-08-19T21:54:07.720996
8,AsyncFL,Normal,0.19827586206896552,0.22747252747252747,0.21187308085977483,910,-0.00296864202553912,2025-08-19T21:54:19.955491
8,AsyncFL,DDoS,0.16589861751152074,0.07766990291262135,0.10580455547391623,927,-0.004371420042533644,2025-08-19T21:54:19.955491
8,AsyncFL,DoS,0.20444444444444446,0.15316315205327413,0.17512690355329952,901,-0.018103865677469688,2025-08-19T21:54:19.955491
8,AsyncFL,Reconnaissance,0.19550038789759502,0.2916666666666667,0.23409196470041804,864,-0.010512351846344525,2025-08-19T21:54:19.955491
8,AsyncFL,Theft,0.2051039697542533,0.24164810690423164,0.221881390593047,898,0.0048756524605483575,2025-08-19T21:54:19.955491
9,AsyncFL,Normal,0.20909090909090908,0.2076749435665914,0.20838052095130236,443,-0.00349255990847247,2025-08-19T21:54:26.834151
9,AsyncFL,DDoS,0.14107883817427386,0.07218683651804671,0.09550561797752809,471,-0.010298937496388147,2025-08-19T21:54:26.834151
9,AsyncFL,DoS,0.19854721549636803,0.19523809523809524,0.19687875150060025,420,0.02175184794730073,2025-08-19T21:54:26.834151
9,AsyncFL,Reconnaissance,0.20060331825037708,0.2942477876106195,0.23856502242152466,452,0.004473057721106621,2025-08-19T21:54:26.834151
9,AsyncFL,Theft,0.2150101419878296,0.22844827586206898,0.22152560083594566,464,-0.0003557897571013491,2025-08-19T21:54:26.834151
10,AsyncFL,Normal,0.18352941176470589,0.17687074829931973,0.18013856812933024,441,-0.028241952821972116,2025-08-19T21:54:33.628686
10,AsyncFL,DDoS,0.1752136752136752,0.09234234234234234,0.12094395280235988,444,0.025438334824831793,2025-08-19T21:54:33.628686
10,AsyncFL,DoS,0.1941031941031941,0.16989247311827957,0.18119266055045868,465,-0.015686090950141562,2025-08-19T21:54:33.628686
10,AsyncFL,Reconnaissance,0.21128608923884515,0.35152838427947597,0.2639344262295082,458,0.025369403807983526,2025-08-19T21:54:33.628686
10,AsyncFL,Theft,0.1895734597156398,0.18099547511312217,0.1851851851851852,442,-0.03634041565076046,2025-08-19T21:54:33.628686
