round,loss,num_clients,total_examples,timestamp
1,4.714673490524292,1,1600,2025-08-19T21:52:48.609899
2,3.8609050369262694,4,6400,2025-08-19T21:52:57.629955
3,3.4932749349730354,7,11200,2025-08-19T21:53:13.325298
4,3.4062497653961183,10,16000,2025-08-19T21:53:26.825405
5,3.2946351181136238,15,14400,2025-08-19T21:53:40.103522
6,3.228078795009189,15,14400,2025-08-19T21:53:51.949668
7,3.166071768760681,10,16000,2025-08-19T21:54:06.581120
8,3.0522351837158204,10,16000,2025-08-19T21:54:20.133567
9,2.937448103427887,5,8000,2025-08-19T21:54:26.236528
10,2.7995825300216675,5,8000,2025-08-19T21:54:33.044261
