round,loss,accuracy,num_clients,zero_day_detection,timestamp
1,0.0669568454225858,0.19133333333333333,3,0.23372582399394712,2025-08-19T21:35:58.073989
2,0.06013197973370552,0.2036,5,0.20980134232906753,2025-08-19T21:36:06.044163
3,0.05902954936027527,0.2032,10,0.2060071646322812,2025-08-19T21:36:20.019218
4,0.05812506377696991,0.195,10,0.21008717854228748,2025-08-19T21:36:36.761217
5,0.057654275000095366,0.20066666666666666,15,0.19957179905902953,2025-08-19T21:36:50.631496
6,0.05743270292878151,0.202,15,0.20073135418534566,2025-08-19T21:37:04.424922
7,0.05691494941711426,0.1966,10,0.17495265626360995,2025-08-19T21:37:18.145372
8,0.05605362206697464,0.2076,10,0.1840031696020993,2025-08-19T21:37:30.652505
9,0.05568924769759178,0.1952,5,0.2529708981224866,2025-08-19T21:37:37.824623
10,0.055017101019620894,0.1996,5,0.19130091657249826,2025-08-19T21:37:44.705796
