round,bytes_transmitted,communication_time,num_clients,timestamp
1,707402,4.869842529296875,1,2025-08-19T21:35:57.473417
2,2120284,7.150758981704712,3,2025-08-19T21:36:05.226174
3,4941968,12.37868070602417,7,2025-08-19T21:36:18.424237
4,7067496,15.35329008102417,10,2025-08-19T21:36:35.373861
5,10589978,11.75374174118042,15,2025-08-19T21:36:48.517644
6,10591522,11.5856192111969,15,2025-08-19T21:37:02.219591
7,7064770,12.45162034034729,10,2025-08-19T21:37:16.878823
8,7060314,11.26670217514038,10,2025-08-19T21:37:29.413524
9,3533746,6.44178318977356,5,2025-08-19T21:37:37.097006
10,3534736,6.247550010681152,5,2025-08-19T21:37:44.074235
