round,algorithm,total_bytes,bytes_per_client,cumulative_bytes,bandwidth_efficiency,compression_ratio,communication_overhead,timestamp
1,AsyncFL,707402,707402.0,707402,1.4136233711524706,1.0,0.8,2025-08-19T21:35:57.473453
2,AsyncFL,2120284,706761.3333333334,2827686,0.4716349319242139,1.0,0.8,2025-08-19T21:36:05.226272
3,AsyncFL,4941968,705995.4285714285,7769654,0.20234853807228215,1.0,0.8,2025-08-19T21:36:18.424287
4,AsyncFL,7067496,706749.6,14837150,0.1414928285774764,1.0,0.8,2025-08-19T21:36:35.374000
5,AsyncFL,10589978,705998.5333333333,25427128,0.09442890249630358,1.0,0.8,2025-08-19T21:36:48.517918
6,AsyncFL,10591522,706101.4666666667,36018650,0.09441513693688217,1.0,0.8,2025-08-19T21:37:02.219744
7,AsyncFL,7064770,706477.0,43083420,0.1415474247569277,1.0,0.8,2025-08-19T21:37:16.878941
8,AsyncFL,7060314,706031.4,50143734,0.141636760064779,1.0,0.8,2025-08-19T21:37:29.413747
9,AsyncFL,3533746,706749.2,53677480,0.2829858173168077,1.0,0.8,2025-08-19T21:37:37.097095
10,AsyncFL,3534736,706947.2,57212216,0.28290655935832265,1.0,0.8,2025-08-19T21:37:44.074417
