round,loss,num_clients,total_examples,timestamp
1,4.637718653678894,1,1600,2025-08-19T21:35:57.474017
2,3.7560681454340616,3,4800,2025-08-19T21:36:05.227157
3,3.4040970945358278,7,11200,2025-08-19T21:36:18.425056
4,3.257518689393997,10,16000,2025-08-19T21:36:35.376591
5,3.205818206999037,15,14400,2025-08-19T21:36:48.520232
6,3.112400517728594,15,14400,2025-08-19T21:37:02.221264
7,3.0508548867702485,10,16000,2025-08-19T21:37:16.880625
8,2.9383713693618776,10,16000,2025-08-19T21:37:29.416370
9,2.862576865673065,5,8000,2025-08-19T21:37:37.098338
10,2.6806033487319945,5,8000,2025-08-19T21:37:44.076343
