round,threats_detected,rules_deployed,avg_response_time,mitigation_effectiveness,timestamp
1,0,0,0,0.0,2025-08-19T21:32:56.015170
2,0,0,0,0.0,2025-08-19T21:33:03.948065
3,4,4,0.13178586959838867,1.0,2025-08-19T21:33:20.144422
4,7,7,0.11525835309709821,1.0,2025-08-19T21:33:34.711781
5,13,12,0.09934107462565105,0.9230769230769231,2025-08-19T21:33:47.663685
6,24,21,0.08443423679896764,0.875,2025-08-19T21:33:59.549196
7,30,27,0.08787049187554254,0.9,2025-08-19T21:34:14.183050
8,33,30,0.08767445882161459,0.9090909090909091,2025-08-19T21:34:29.392575
9,34,31,0.08714583612257434,0.9117647058823529,2025-08-19T21:34:35.903264
10,34,31,0.08714583612257434,0.9117647058823529,2025-08-19T21:34:43.043372
