round,algorithm,class,tp,fp,fn,tn,timestamp
1,FedProx,Normal,37,133,272,1058,2025-08-19T21:32:56.601753
1,FedProx,DDoS,50,180,264,1006,2025-08-19T21:32:56.601753
1,FedProx,DoS,111,503,181,705,2025-08-19T21:32:56.601753
1,FedProx,Reconnaissance,20,81,278,1121,2025-08-19T21:32:56.601753
1,FedProx,Theft,71,314,216,899,2025-08-19T21:32:56.601753
2,FedProx,Normal,81,323,453,1643,2025-08-19T21:33:04.816301
2,FedProx,DDoS,126,532,367,1475,2025-08-19T21:33:04.816301
2,FedProx,DoS,113,527,362,1498,2025-08-19T21:33:04.816301
2,FedProx,Reconnaissance,69,311,431,1689,2025-08-19T21:33:04.816301
2,FedProx,Theft,89,329,409,1673,2025-08-19T21:33:04.816301
3,FedProx,Normal,191,722,825,3262,2025-08-19T21:33:21.594153
3,FedProx,DDoS,272,1210,692,2826,2025-08-19T21:33:21.594153
3,FedProx,DoS,190,823,783,3204,2025-08-19T21:33:21.594153
3,FedProx,Reconnaissance,188,723,837,3252,2025-08-19T21:33:21.594153
3,FedProx,Theft,144,537,878,3441,2025-08-19T21:33:21.594153
4,FedProx,Normal,217,764,828,3191,2025-08-19T21:33:36.028975
4,FedProx,DDoS,257,1089,679,2975,2025-08-19T21:33:36.028975
4,FedProx,DoS,187,791,783,3239,2025-08-19T21:33:36.028975
4,FedProx,Reconnaissance,197,791,818,3194,2025-08-19T21:33:36.028975
4,FedProx,Theft,155,552,879,3414,2025-08-19T21:33:36.028975
5,FedProx,Normal,301,1085,1252,4862,2025-08-19T21:33:49.652599
5,FedProx,DDoS,423,1807,1011,4259,2025-08-19T21:33:49.652599
5,FedProx,DoS,249,1112,1224,4915,2025-08-19T21:33:49.652599
5,FedProx,Reconnaissance,304,1202,1205,4789,2025-08-19T21:33:49.652599
5,FedProx,Theft,216,801,1315,5168,2025-08-19T21:33:49.652599
6,FedProx,Normal,292,1061,1261,4886,2025-08-19T21:34:01.944573
6,FedProx,DDoS,435,1869,999,4197,2025-08-19T21:34:01.944573
6,FedProx,DoS,250,1102,1223,4925,2025-08-19T21:34:01.944573
6,FedProx,Reconnaissance,309,1205,1200,4786,2025-08-19T21:34:01.944573
6,FedProx,Theft,204,773,1327,5196,2025-08-19T21:34:01.944573
7,FedProx,Normal,193,720,835,3252,2025-08-19T21:34:15.421515
7,FedProx,DDoS,282,1289,651,2778,2025-08-19T21:34:15.421515
7,FedProx,DoS,169,717,834,3280,2025-08-19T21:34:15.421515
7,FedProx,Reconnaissance,219,827,786,3168,2025-08-19T21:34:15.421515
7,FedProx,Theft,127,457,904,3512,2025-08-19T21:34:15.421515
8,FedProx,Normal,202,775,831,3192,2025-08-19T21:34:29.599302
8,FedProx,DDoS,292,1186,660,2862,2025-08-19T21:34:29.599302
8,FedProx,DoS,160,682,838,3320,2025-08-19T21:34:29.599302
8,FedProx,Reconnaissance,212,884,766,3138,2025-08-19T21:34:29.599302
8,FedProx,Theft,133,474,906,3487,2025-08-19T21:34:29.599302
9,FedProx,Normal,95,357,424,1624,2025-08-19T21:34:36.533997
9,FedProx,DDoS,146,599,328,1427,2025-08-19T21:34:36.533997
9,FedProx,DoS,88,347,404,1661,2025-08-19T21:34:36.533997
9,FedProx,Reconnaissance,104,461,401,1534,2025-08-19T21:34:36.533997
9,FedProx,Theft,59,244,451,1746,2025-08-19T21:34:36.533997
10,FedProx,Normal,93,345,434,1628,2025-08-19T21:34:43.760606
10,FedProx,DDoS,150,564,336,1450,2025-08-19T21:34:43.760606
10,FedProx,DoS,74,337,420,1669,2025-08-19T21:34:43.760606
10,FedProx,Reconnaissance,125,501,359,1515,2025-08-19T21:34:43.760606
10,FedProx,Theft,75,236,434,1755,2025-08-19T21:34:43.760606
