round,loss,num_clients,total_examples,timestamp
1,4.488837132453918,1,1600,2025-08-19T21:32:56.015269
2,3.705736945470174,3,4800,2025-08-19T21:33:03.948525
3,3.4504893725258965,7,11200,2025-08-19T21:33:20.144685
4,3.2735911152362824,10,16000,2025-08-19T21:33:34.711945
5,3.184474781619178,15,14400,2025-08-19T21:33:47.663898
6,3.122860862414042,15,14400,2025-08-19T21:33:59.549356
7,3.0481339044570923,10,16000,2025-08-19T21:34:14.183325
8,2.968478549480438,10,16000,2025-08-19T21:34:29.392952
9,2.86557839679718,5,8000,2025-08-19T21:34:35.903418
10,2.7204788727760314,5,8000,2025-08-19T21:34:43.043420
