round,algorithm,class_name,precision,recall,f1_score,support,improvement_from_prev,timestamp
1,FedProx,Normal,0.21764705882352942,0.11974110032362459,0.1544885177453027,309,0.1544885177453027,2025-08-19T21:32:56.601866
1,FedProx,DDoS,0.21739130434782608,0.1592356687898089,0.18382352941176472,314,0.18382352941176472,2025-08-19T21:32:56.601866
1,FedProx,DoS,0.18078175895765472,0.3801369863013699,0.24503311258278146,292,0.24503311258278146,2025-08-19T21:32:56.601866
1,FedProx,Reconnaissance,0.19801980198019803,0.06711409395973154,0.10025062656641603,298,0.10025062656641603,2025-08-19T21:32:56.601866
1,FedProx,Theft,0.18441558441558442,0.24738675958188153,0.2113095238095238,287,0.2113095238095238,2025-08-19T21:32:56.601866
2,FedProx,Normal,0.2004950495049505,0.15168539325842698,0.1727078891257996,534,0.018219371380496896,2025-08-19T21:33:04.816431
2,FedProx,DDoS,0.19148936170212766,0.25557809330628806,0.21894005212858383,493,0.035116522716819115,2025-08-19T21:33:04.816431
2,FedProx,DoS,0.1765625,0.23789473684210527,0.20269058295964126,475,-0.042342529623140196,2025-08-19T21:33:04.816431
2,FedProx,Reconnaissance,0.18157894736842106,0.138,0.15681818181818183,500,0.056567555251765794,2025-08-19T21:33:04.816431
2,FedProx,Theft,0.21291866028708134,0.178714859437751,0.1943231441048035,498,-0.016986379704720306,2025-08-19T21:33:04.816431
3,FedProx,Normal,0.20920043811610076,0.18799212598425197,0.19803006739243129,1016,0.02532217826663169,2025-08-19T21:33:21.594302
3,FedProx,DDoS,0.18353576248313092,0.2821576763485477,0.2224039247751431,964,0.0034638726465592573,2025-08-19T21:33:21.594302
3,FedProx,DoS,0.18756169792694966,0.19527235354573483,0.19133937562940584,973,-0.011351207330235424,2025-08-19T21:33:21.594302
3,FedProx,Reconnaissance,0.20636663007683864,0.18341463414634146,0.19421487603305787,1025,0.03739669421487604,2025-08-19T21:33:21.594302
3,FedProx,Theft,0.21145374449339208,0.14090019569471623,0.16911332941867294,1022,-0.025209814686130566,2025-08-19T21:33:21.594302
4,FedProx,Normal,0.22120285423037717,0.2076555023923445,0.2142152023692004,1045,0.016185134976769128,2025-08-19T21:33:36.029084
4,FedProx,DDoS,0.19093610698365526,0.2745726495726496,0.2252410166520596,936,0.0028370918769164977,2025-08-19T21:33:36.029084
4,FedProx,DoS,0.19120654396728015,0.19278350515463918,0.1919917864476386,970,0.0006524108182327515,2025-08-19T21:33:36.029084
4,FedProx,Reconnaissance,0.19939271255060728,0.19408866995073892,0.1967049425861208,1015,0.0024900665530629418,2025-08-19T21:33:36.029084
4,FedProx,Theft,0.21923620933521923,0.14990328820116053,0.17805858701895463,1034,0.008945257600281697,2025-08-19T21:33:36.029084
5,FedProx,Normal,0.21717171717171718,0.19381841596909208,0.2048315753657707,1553,-0.009383627003429706,2025-08-19T21:33:49.652838
5,FedProx,DDoS,0.1896860986547085,0.29497907949790797,0.23089519650655024,1434,0.005654179854490654,2025-08-19T21:33:49.652838
5,FedProx,DoS,0.18295371050698017,0.1690427698574338,0.17572335920959772,1473,-0.016268427238040867,2025-08-19T21:33:49.652838
5,FedProx,Reconnaissance,0.20185922974767595,0.20145791915175612,0.20165837479270315,1509,0.004953432206582342,2025-08-19T21:33:49.652838
5,FedProx,Theft,0.21238938053097345,0.1410842586544742,0.1695447409733124,1531,-0.008513846045642232,2025-08-19T21:33:49.652838
6,FedProx,Normal,0.21581670362158167,0.1880231809401159,0.20096352374397797,1553,-0.0038680516217927396,2025-08-19T21:34:01.944682
6,FedProx,DDoS,0.18880208333333334,0.303347280334728,0.23274478330658105,1434,0.0018495868000308058,2025-08-19T21:34:01.944682
6,FedProx,DoS,0.1849112426035503,0.1697216564833673,0.17699115044247787,1473,0.00126779123288015,2025-08-19T21:34:01.944682
6,FedProx,Reconnaissance,0.20409511228533686,0.2047713717693837,0.20443268276546475,1509,0.002774307972761597,2025-08-19T21:34:01.944682
