round,bytes_transmitted,communication_time,num_clients,timestamp
1,708406,3.888491630554199,1,2025-08-19T21:32:56.014749
2,2119184,7.344790935516357,3,2025-08-19T21:33:03.947471
3,4944326,15.324509143829346,7,2025-08-19T21:33:20.142031
4,7064430,13.113926887512207,10,2025-08-19T21:33:34.710463
5,10599662,11.623543500900269,15,2025-08-19T21:33:47.661894
6,10599624,9.892915487289429,15,2025-08-19T21:33:59.546958
7,7068148,12.234970092773438,10,2025-08-19T21:34:14.181005
8,7060772,13.9677734375,10,2025-08-19T21:34:29.390810
9,3529422,6.301403522491455,5,2025-08-19T21:34:35.902338
10,3529782,6.50730562210083,5,2025-08-19T21:34:43.042775
