round,algorithm,total_bytes,bytes_per_client,cumulative_bytes,bandwidth_efficiency,compression_ratio,communication_overhead,timestamp
1,FedAvg,708408,708408.0,708408,1.4116159049587242,1.0,1.0,2025-08-19T21:29:49.685973
2,FedAvg,2119186,706395.3333333334,2827594,0.47187929705084874,1.0,1.0,2025-08-19T21:29:55.437594
3,FedAvg,4944392,706341.7142857143,7771986,0.20224933621767854,1.0,1.0,2025-08-19T21:30:11.571936
4,FedAvg,7066936,706693.6,14838922,0.14150404078938877,1.0,1.0,2025-08-19T21:30:25.417172
5,FedAvg,10600276,706685.0666666667,25439198,0.09433716631529217,1.0,1.0,2025-08-19T21:30:38.937662
6,FedAvg,10603382,706892.1333333333,36042580,0.09430953256234662,1.0,1.0,2025-08-19T21:30:52.284775
7,FedAvg,7063646,706364.6,43106226,0.14156994843739337,1.0,1.0,2025-08-19T21:31:05.686168
8,FedAvg,7061774,706177.4,50168000,0.14160747710136293,1.0,1.0,2025-08-19T21:31:22.975359
9,FedAvg,3531088,706217.6,53699088,0.28319883276769087,1.0,1.0,2025-08-19T21:31:32.646763
10,FedAvg,3530422,706084.4,57229510,0.2832522570956107,1.0,1.0,2025-08-19T21:31:39.626964
