round,threats_detected,rules_deployed,avg_response_time,mitigation_effectiveness,timestamp
1,0,0,0,0.0,2025-08-19T21:29:49.686420
2,1,1,1.1680126190185547,1.0,2025-08-19T21:29:55.439446
3,4,3,0.47461191813151044,0.75,2025-08-19T21:30:11.573687
4,10,8,0.2282559871673584,0.8,2025-08-19T21:30:25.418745
5,18,16,0.14875829219818115,0.8888888888888888,2025-08-19T21:30:38.939532
6,25,23,0.14483410379161007,0.92,2025-08-19T21:30:52.287230
7,30,27,0.1319514380560981,0.9,2025-08-19T21:31:05.688095
8,39,36,0.4124111599392361,0.9230769230769231,2025-08-19T21:31:22.988384
9,43,40,0.37702322006225586,0.9302325581395349,2025-08-19T21:31:32.648244
10,45,41,0.37021753264636525,0.9111111111111111,2025-08-19T21:31:39.627725
