round,algorithm,average_type,precision,recall,f1,timestamp
1,FedAvg,class:Normal,0.21764705882352942,0.11974110032362459,0.1544885177453027,2025-08-19T21:29:50.222296
1,FedAvg,class:DDoS,0.21739130434782608,0.1592356687898089,0.18382352941176472,2025-08-19T21:29:50.222383
1,FedAvg,class:DoS,0.18078175895765472,0.3801369863013699,0.24503311258278146,2025-08-19T21:29:50.222419
1,FedAvg,class:Reconnaissance,0.19801980198019803,0.06711409395973154,0.10025062656641603,2025-08-19T21:29:50.222448
1,FedAvg,class:Theft,0.18441558441558442,0.24738675958188153,0.2113095238095238,2025-08-19T21:29:50.222475
1,FedAvg,macro,0.19965110170495853,0.1947229217912833,0.17898106202315775,2025-08-19T21:29:50.222710
1,FedAvg,micro,0.19266666666666668,0.19266666666666668,0.19266666666666668,2025-08-19T21:29:50.222741
1,FedAvg,weighted,0.2001595053831299,0.19266666666666668,0.19634162613242476,2025-08-19T21:29:50.222765
2,FedAvg,class:Normal,0.20388349514563106,0.1686746987951807,0.18461538461538457,2025-08-19T21:29:56.378583
2,FedAvg,class:DDoS,0.19821162444113263,0.258252427184466,0.22428330522765597,2025-08-19T21:29:56.378618
2,FedAvg,class:DoS,0.19025157232704404,0.24897119341563786,0.2156862745098039,2025-08-19T21:29:56.378642
2,FedAvg,class:Reconnaissance,0.17191977077363896,0.11583011583011583,0.1384083044982699,2025-08-19T21:29:56.378681
2,FedAvg,class:Theft,0.18981481481481483,0.16977225672877846,0.17923497267759567,2025-08-19T21:29:56.378701
2,FedAvg,macro,0.1908162555004523,0.19230013839083576,0.188445648305742,2025-08-19T21:29:56.378935
2,FedAvg,micro,0.192,0.192,0.192,2025-08-19T21:29:56.378958
2,FedAvg,weighted,0.19072409125478063,0.192,0.19135991884315678,2025-08-19T21:29:56.378977
3,FedAvg,class:Normal,0.22161572052401746,0.1980487804878049,0.2091705306543019,2025-08-19T21:30:12.983357
3,FedAvg,class:DDoS,0.19425444596443228,0.30021141649048627,0.23588039867109636,2025-08-19T21:30:12.983397
3,FedAvg,class:DoS,0.1916583912611718,0.20209424083769634,0.19673802242609584,2025-08-19T21:30:12.983422
3,FedAvg,class:Reconnaissance,0.19779005524861878,0.171455938697318,0.1836839404822986,2025-08-19T21:30:12.983447
3,FedAvg,class:Theft,0.2295774647887324,0.15825242718446603,0.18735632183908046,2025-08-19T21:30:12.983468
3,FedAvg,macro,0.20697921555739454,0.2060125607395543,0.20256584281457463,2025-08-19T21:30:12.983594
3,FedAvg,micro,0.2044,0.2044,0.2044,2025-08-19T21:30:12.983636
3,FedAvg,weighted,0.20738243789716843,0.2044,0.20588041842020824,2025-08-19T21:30:12.983654
4,FedAvg,class:Normal,0.220703125,0.21626794258373205,0.21846302561623973,2025-08-19T21:30:26.657586
4,FedAvg,class:DDoS,0.19092904169714703,0.27825159914712155,0.22646420824295013,2025-08-19T21:30:26.657630
4,FedAvg,class:DoS,0.18712871287128713,0.19071644803229063,0.18890554722638678,2025-08-19T21:30:26.657694
4,FedAvg,class:Reconnaissance,0.19743863393810032,0.18839103869653767,0.1928087545596665,2025-08-19T21:30:26.657722
4,FedAvg,class:Theft,0.2175226586102719,0.13793103448275862,0.16881594372801875,2025-08-19T21:30:26.657748
4,FedAvg,macro,0.20274443442336126,0.20231161258848812,0.19909149587465239,2025-08-19T21:30:26.657973
4,FedAvg,micro,0.201,0.201,0.201,2025-08-19T21:30:26.658000
4,FedAvg,weighted,0.20322983106174156,0.201,0.2021087653828834,2025-08-19T21:30:26.658027
5,FedAvg,class:Normal,0.2084712111184646,0.20283322601416612,0.2056135770234987,2025-08-19T21:30:40.907291
5,FedAvg,class:DDoS,0.18977756743965926,0.2796373779637378,0.22610656893149142,2025-08-19T21:30:40.907360
5,FedAvg,class:DoS,0.18588399720475193,0.18058384249830278,0.18319559228650137,2025-08-19T21:30:40.907384
5,FedAvg,class:Reconnaissance,0.19477911646586346,0.19284294234592445,0.1938061938061938,2025-08-19T21:30:40.907406
5,FedAvg,class:Theft,0.20715036803364878,0.1286740692357936,0.1587429492344883,2025-08-19T21:30:40.907425
5,FedAvg,macro,0.19721245205247762,0.19691429161158497,0.19349297625643472,2025-08-19T21:30:40.907573
5,FedAvg,micro,0.196,0.196,0.19600000000000004,2025-08-19T21:30:40.907594
5,FedAvg,weighted,0.19743638008860678,0.196,0.19671556803492227,2025-08-19T21:30:40.907613
6,FedAvg,class:Normal,0.2093645484949833,0.20154539600772697,0.20538057742782154,2025-08-19T21:30:53.009353
6,FedAvg,class:DDoS,0.1906934306569343,0.2914923291492329,0.23055708769994485,2025-08-19T21:30:53.009399
6,FedAvg,class:DoS,0.1873156342182891,0.17243720298710116,0.17956875220926122,2025-08-19T21:30:53.009429
6,FedAvg,class:Reconnaissance,0.19520103761348898,0.19946984758117958,0.197312356604392,2025-08-19T21:30:53.009455
6,FedAvg,class:Theft,0.20327868852459016,0.12148922273024167,0.15208503679476695,2025-08-19T21:30:53.009514
6,FedAvg,macro,0.19717066790165716,0.19728679969109647,0.1929807621472373,2025-08-19T21:30:53.009732
6,FedAvg,micro,0.19626666666666667,0.19626666666666667,0.19626666666666667,2025-08-19T21:30:53.009758
6,FedAvg,weighted,0.1973721987290927,0.19626666666666667,0.1968178802582599,2025-08-19T21:30:53.009782
7,FedAvg,class:Normal,0.21101871101871103,0.1951923076923077,0.2027972027972028,2025-08-19T21:31:07.074596
7,FedAvg,class:DDoS,0.1973284760170006,0.33539731682146545,0.24847094801223238,2025-08-19T21:31:07.074667
7,FedAvg,class:DoS,0.18838862559241706,0.16358024691358025,0.1751101321585903,2025-08-19T21:31:07.074692
7,FedAvg,class:Reconnaissance,0.19182083739045763,0.19779116465863453,0.19476025704399405,2025-08-19T21:31:07.074713
7,FedAvg,class:Theft,0.2153846153846154,0.10948191593352884,0.14517174335709657,2025-08-19T21:31:07.074734
7,FedAvg,macro,0.20078825308064036,0.20028859040390334,0.1932620566738232,2025-08-19T21:31:07.074934
7,FedAvg,micro,0.1992,0.1992,0.1992,2025-08-19T21:31:07.074955
7,FedAvg,weighted,0.20103530247502394,0.1992,0.2001134432938923,2025-08-19T21:31:07.074971
8,FedAvg,class:Normal,0.1997907949790795,0.18597857838364168,0.19263741805345436,2025-08-19T21:31:25.374815
8,FedAvg,class:DDoS,0.17659425367904696,0.261139896373057,0.21070234113712374,2025-08-19T21:31:25.374907
8,FedAvg,class:DoS,0.18985976267529667,0.18219461697722567,0.18594823032223987,2025-08-19T21:31:25.374932
8,FedAvg,class:Reconnaissance,0.20309653916211293,0.21608527131782945,0.20938967136150233,2025-08-19T21:31:25.374952
8,FedAvg,class:Theft,0.1875,0.1099009900990099,0.13857677902621723,2025-08-19T21:31:25.374973
8,FedAvg,macro,0.19136827009910723,0.19105987063015276,0.1874508879801075,2025-08-19T21:31:25.375161
8,FedAvg,micro,0.1906,0.1906,0.1906,2025-08-19T21:31:25.375183
8,FedAvg,weighted,0.19159475208068644,0.1906,0.19109608150176488,2025-08-19T21:31:25.375200
9,FedAvg,class:Normal,0.2053388090349076,0.18796992481203006,0.19627085377821393,2025-08-19T21:31:33.307144
9,FedAvg,class:DDoS,0.19788519637462235,0.27521008403361347,0.23022847100175747,2025-08-19T21:31:33.307192
9,FedAvg,class:DoS,0.1697674418604651,0.16114790286975716,0.1653454133635334,2025-08-19T21:31:33.307222
9,FedAvg,class:Reconnaissance,0.20270270270270271,0.21937842778793418,0.21071115013169447,2025-08-19T21:31:33.307248
9,FedAvg,class:Theft,0.20364741641337386,0.13617886178861788,0.16321559074299632,2025-08-19T21:31:33.307274
