round,bytes_transmitted,communication_time,num_clients,timestamp
1,708408,5.06317925453186,1,2025-08-19T21:29:49.685867
2,2119186,5.213181018829346,3,2025-08-19T21:29:55.437527
3,4944392,15.191226243972778,7,2025-08-19T21:30:11.571644
4,7066936,12.43253779411316,10,2025-08-19T21:30:25.417066
5,10600276,12.277923107147217,15,2025-08-19T21:30:38.937465
6,10603382,11.375994682312012,15,2025-08-19T21:30:52.284674
7,7063646,12.674563646316528,10,2025-08-19T21:31:05.686031
8,7061774,15.898404121398926,10,2025-08-19T21:31:22.975132
9,3531088,7.270127534866333,5,2025-08-19T21:31:32.646629
10,3530422,6.317518472671509,5,2025-08-19T21:31:39.626880
