round,num_clients,target_clients,participation_rate,client_ids,timestamp
1,1,5,0.2,f0338f26dbab4f81a5267d51478e82aa,2025-08-19T21:29:49.684402
2,3,5,0.6,"f0338f26dbab4f81a5267d51478e82aa,dbeb79240e254b63b0a56b41e78d2e97,bce4286e1ecf4471993025be0f6bb0b2",2025-08-19T21:29:55.434044
3,7,10,0.7,"d289f24bf0ee44eeafa7196fb10c5ad0,cdc2367268c443418259c28c52c1d2f0,bce4286e1ecf4471993025be0f6bb0b2,23801d27bf5f4e0fac64bd757031c314,cdc958c82b9e497eb03583d8dce0f244,dbeb79240e254b63b0a56b41e78d2e97,f0338f26dbab4f81a5267d51478e82aa",2025-08-19T21:30:11.565101
4,10,10,1.0,"23801d27bf5f4e0fac64bd757031c314,bce4286e1ecf4471993025be0f6bb0b2,21917eae969d48219ae069652d8bdeca,f0338f26dbab4f81a5267d51478e82aa,cdc2367268c443418259c28c52c1d2f0,d289f24bf0ee44eeafa7196fb10c5ad0,fab97840fa464516862cbce0e19de60a,b0c65f12d1d5432692b267a3f221d640,cdc958c82b9e497eb03583d8dce0f244,1d9c556c26ff45a5b034c4efb46b8d36",2025-08-19T21:30:25.406138
5,15,15,1.0,"1d9c556c26ff45a5b034c4efb46b8d36,f0338f26dbab4f81a5267d51478e82aa,2929813e1ca74bb5b202f7928bb8037c,23801d27bf5f4e0fac64bd757031c314,092eff2a050a4d3190a9e88a349a3df1,bce4286e1ecf4471993025be0f6bb0b2,be0e5314c17946aa9ed796afbd516c50,fab97840fa464516862cbce0e19de60a,21917eae969d48219ae069652d8bdeca,cdc958c82b9e497eb03583d8dce0f244,b0c65f12d1d5432692b267a3f221d640,50a48c7b4f464957a2b6243b28fba214,cdc2367268c443418259c28c52c1d2f0,dbeb79240e254b63b0a56b41e78d2e97,d289f24bf0ee44eeafa7196fb10c5ad0",2025-08-19T21:30:38.921227
6,15,15,1.0,"2929813e1ca74bb5b202f7928bb8037c,cdc2367268c443418259c28c52c1d2f0,be0e5314c17946aa9ed796afbd516c50,50a48c7b4f464957a2b6243b28fba214,1d9c556c26ff45a5b034c4efb46b8d36,dbeb79240e254b63b0a56b41e78d2e97,b0c65f12d1d5432692b267a3f221d640,bce4286e1ecf4471993025be0f6bb0b2,092eff2a050a4d3190a9e88a349a3df1,fab97840fa464516862cbce0e19de60a,d289f24bf0ee44eeafa7196fb10c5ad0,f0338f26dbab4f81a5267d51478e82aa,cdc958c82b9e497eb03583d8dce0f244,23801d27bf5f4e0fac64bd757031c314,21917eae969d48219ae069652d8bdeca",2025-08-19T21:30:52.269159
7,10,10,1.0,"d289f24bf0ee44eeafa7196fb10c5ad0,bce4286e1ecf4471993025be0f6bb0b2,23801d27bf5f4e0fac64bd757031c314,50a48c7b4f464957a2b6243b28fba214,fab97840fa464516862cbce0e19de60a,1d9c556c26ff45a5b034c4efb46b8d36,dbeb79240e254b63b0a56b41e78d2e97,2929813e1ca74bb5b202f7928bb8037c,b0c65f12d1d5432692b267a3f221d640,cdc2367268c443418259c28c52c1d2f0",2025-08-19T21:31:05.674709
8,10,10,1.0,"092eff2a050a4d3190a9e88a349a3df1,21917eae969d48219ae069652d8bdeca,23801d27bf5f4e0fac64bd757031c314,b0c65f12d1d5432692b267a3f221d640,cdc958c82b9e497eb03583d8dce0f244,be0e5314c17946aa9ed796afbd516c50,fab97840fa464516862cbce0e19de60a,bce4286e1ecf4471993025be0f6bb0b2,d289f24bf0ee44eeafa7196fb10c5ad0,cdc2367268c443418259c28c52c1d2f0",2025-08-19T21:31:22.942896
9,5,5,1.0,"b0c65f12d1d5432692b267a3f221d640,fab97840fa464516862cbce0e19de60a,cdc2367268c443418259c28c52c1d2f0,092eff2a050a4d3190a9e88a349a3df1,dbeb79240e254b63b0a56b41e78d2e97",2025-08-19T21:31:32.641072
10,5,5,1.0,"b0c65f12d1d5432692b267a3f221d640,23801d27bf5f4e0fac64bd757031c314,092eff2a050a4d3190a9e88a349a3df1,50a48c7b4f464957a2b6243b28fba214,21917eae969d48219ae069652d8bdeca",2025-08-19T21:31:39.621511
