round,loss,num_clients,total_examples,timestamp
1,4.488837132453918,1,1600,2025-08-19T21:29:49.686481
2,3.705736945470174,3,4800,2025-08-19T21:29:55.439802
3,3.4012261370250156,7,11200,2025-08-19T21:30:11.574177
4,3.2686633949279784,10,16000,2025-08-19T21:30:25.418970
5,3.1788472856415644,15,14400,2025-08-19T21:30:38.939734
6,3.1260823074976605,15,14400,2025-08-19T21:30:52.287538
7,3.056713015317917,10,16000,2025-08-19T21:31:05.688387
8,2.9756485438346862,10,16000,2025-08-19T21:31:23.012941
9,2.7965755505561827,5,8000,2025-08-19T21:31:32.648463
10,2.686406331062317,5,8000,2025-08-19T21:31:39.628001
